Time	[AKT_mod_slash_PIP3_AKT_thr308]	[BDNF]	[CaMKIII_star]	[Ca]	[MAPK_star]	[protein]
0	0	5e-05	0	0.08	0	0
1	9.19948e-11	5e-05	0.000534029	0.08	4.1336e-43	8.7056e-09
2	3.13377e-09	5e-05	0.00103721	0.08	1.16307e-35	5.13877e-08
3	2.01798e-08	5e-05	0.00150199	0.08	2.01217e-31	1.31011e-07
4	6.90784e-08	5e-05	0.00193126	0.08	1.66536e-28	2.39412e-07
5	1.70147e-07	5e-05	0.00232774	0.08	2.61343e-26	3.66919e-07
6	3.43077e-07	5e-05	0.00269392	0.08	1.42635e-24	5.05224e-07
7	6.05214e-07	5e-05	0.00303213	0.08	3.77971e-23	6.47942e-07
8	9.70759e-07	5e-05	0.00334454	0.08	5.93089e-22	7.90439e-07
9	1.45053e-06	5e-05	0.00363313	0.08	6.26739e-21	9.29494e-07
10	2.05207e-06	5e-05	0.00389977	0.08	4.86745e-20	1.06297e-06
11	2.77994e-06	5e-05	0.00414617	0.08	2.95348e-19	1.18952e-06
12	3.63608e-06	5e-05	0.00437392	0.08	1.46792e-18	1.30839e-06
13	4.6203e-06	5e-05	0.00458451	0.08	6.17744e-18	1.41924e-06
14	5.73066e-06	5e-05	0.0047793	0.08	2.2632e-17	1.52204e-06
15	6.96386e-06	5e-05	0.00495956	0.08	7.376e-17	1.61693e-06
16	8.31561e-06	5e-05	0.00512646	0.08	2.1715e-16	1.70421e-06
17	9.7809e-06	5e-05	0.00528107	0.08	5.85683e-16	1.78426e-06
18	1.13543e-05	5e-05	0.00542442	0.08	1.46484e-15	1.8575e-06
19	1.303e-05	5e-05	0.00555741	0.08	3.42875e-15	1.92438e-06
20	1.48023e-05	5e-05	0.00568092	0.08	7.565e-15	1.98537e-06
21	1.66655e-05	5e-05	0.00579573	0.08	1.58396e-14	2.0409e-06
22	1.86138e-05	5e-05	0.00590257	0.08	3.16572e-14	2.09141e-06
23	2.06419e-05	5e-05	0.00600213	0.08	6.06779e-14	2.13731e-06
24	2.27445e-05	5e-05	0.00609501	0.08	1.12e-13	2.179e-06
25	2.4917e-05	5e-05	0.00618181	0.08	1.99804e-13	2.21684e-06
26	2.71546e-05	5e-05	0.00626304	0.08	3.45564e-13	2.25117e-06
27	2.94532e-05	5e-05	0.0063392	0.08	5.80984e-13	2.28229e-06
28	3.1809e-05	5e-05	0.00641075	0.08	9.5182e-13	2.31051e-06
29	3.42182e-05	5e-05	0.00647809	0.08	1.52276e-12	2.33608e-06
30	3.66777e-05	5e-05	0.0065416	0.08	2.38346e-12	2.35924e-06
31	3.91846e-05	5e-05	0.00660165	0.08	3.65593e-12	2.38023e-06
32	4.17362e-05	5e-05	0.00665856	0.08	5.50367e-12	2.39923e-06
33	4.433e-05	5e-05	0.00671262	0.08	8.14252e-12	2.41644e-06
34	4.69641e-05	5e-05	0.0067641	0.08	1.18536e-11	2.43203e-06
35	4.96364e-05	5e-05	0.00681327	0.08	1.69981e-11	2.44614e-06
36	5.23454e-05	5e-05	0.00686035	0.08	2.40351e-11	2.45891e-06
37	5.50895e-05	5e-05	0.00690556	0.08	3.35411e-11	2.47047e-06
