Time	[TCFBCatenin]	[pAkt]	[pERK]
0	8.8121	0	0
1	8.81252	1.57904e-07	6.94212e-07
2	8.81264	1.12753e-06	5.5379e-06
3	8.81267	3.41927e-06	1.8647e-05
4	8.81267	7.32666e-06	4.41053e-05
5	8.81268	1.30064e-05	8.59673e-05
6	8.81267	2.05281e-05	0.000148261
7	8.81267	2.9905e-05	0.000234992
8	8.81267	4.11135e-05	0.000350142
9	8.81267	5.41056e-05	0.000497679
10	8.81267	6.8816e-05	0.000681551
11	8.81267	8.51682e-05	0.000905696
12	8.81267	0.000103077	0.00117404
13	8.81267	0.000122452	0.00149049
14	8.81267	0.000143197	0.00185896
15	8.81267	0.000165214	0.00228335
16	8.81267	0.000188403	0.00276756
17	8.81266	0.000212663	0.00331548
18	8.81266	0.000237892	0.00393099
19	8.81266	0.000263988	0.00461799
20	8.81266	0.00029085	0.00538037
21	8.81266	0.000318379	0.006222
22	8.81266	0.000346475	0.00714678
23	8.81266	0.000375043	0.00815859
24	8.81266	0.000403988	0.00926132
25	8.81266	0.000433219	0.0104589
26	8.81266	0.000462647	0.0117551
27	8.81266	0.000492187	0.0131539
28	8.81266	0.000521756	0.0146592
29	8.81266	0.000551276	0.0162748
30	8.81266	0.000580672	0.0180047
31	8.81266	0.000609872	0.0198528
32	8.81266	0.000638809	0.0218228
33	8.81266	0.000667419	0.0239188
34	8.81266	0.000695643	0.0261445
35	8.81265	0.000723425	0.0285038
36	8.81265	0.000750714	0.0310007
37	8.81265	0.000777462	0.0336389
38	8.81265	0.000803626	0.0364223
39	8.81266	0.000829166	0.0393549
40	8.81266	0.000854047	0.0424402
41	8.81266	0.000878235	0.0456824
42	8.81266	0.000901704	0.049085
43	8.81266	0.000924428	0.0526519
44	8.81266	0.000946386	0.056387
45	8.81266	0.00096756	0.0602939
46	8.81266	0.000987937	0.0643764
47	8.81266	0.0010075	0.0686382
48	8.81266	0.00102625	0.0730831
49	8.81266	0.00104418	0.0777148
50	8.81266	0.00106128	0.0825368
51	8.81266	0.00107755	0.087553
52	8.81266	0.001093	0.0927667
53	8.81266	0.00110762	0.0981818
54	8.81267	0.00112144	0.103802
55	8.81267	0.00113445	0.10963
56	8.81267	0.00114666	0.11567
57	8.81267	0.00115809	0.121926
58	8.81267	0.00116875	0.1284
59	8.81267	0.00117866	0.135097
60	8.81268	0.00118783	0.142019
61	8.81268	0.00119627	0.149171
62	8.81268	0.00120401	0.156554
63	8.81268	0.00121107	0.164174
64	8.81269	0.00121746	0.172032
65	8.81269	0.00122321	0.180132
66	8.81269	0.00122834	0.188478
67	8.81269	0.00123286	0.197072
68	8.8127	0.0012368	0.205918
69	8.8127	0.00124018	0.215019
70	8.8127	0.00124302	0.224377
71	8.81271	0.00124535	0.233996
72	8.81271	0.00124718	0.243879
73	8.81271	0.00124853	0.254028
74	8.81272	0.00124944	0.264446
75	8.81272	0.00124992	0.275137
76	8.81272	0.00124998	0.286104
77	8.81273	0.00124966	0.297348
78	8.81273	0.00124896	0.308872
79	8.81274	0.00124791	0.32068
80	8.81274	0.00124654	0.332774
81	8.81274	0.00124485	0.345157
82	8.81275	0.00124286	0.35783
83	8.81275	0.0012406	0.370797
84	8.81276	0.00123807	0.384061
85	8.81276	0.0012353	0.397623
86	8.81277	0.0012323	0.411486
87	8.81277	0.00122909	0.425652
88	8.81278	0.00122567	0.440124
89	8.81278	0.00122207	0.454903
90	8.81279	0.0012183	0.469993
91	8.8128	0.00121436	0.485396
92	8.8128	0.00121028	0.501112
93	8.81281	0.00120606	0.517146
94	8.81281	0.00120171	0.533498
95	8.81282	0.00119725	0.550171
96	8.81283	0.00119268	0.567167
97	8.81283	0.00118801	0.584487
98	8.81284	0.00118325	0.602134
99	8.81285	0.00117842	0.62011
100	8.81286	0.00117351	0.638416
101	8.81286	0.00116853	0.657054
102	8.81287	0.0011635	0.676026
103	8.81288	0.00115841	0.695334
104	8.81289	0.00115328	0.71498
105	8.81289	0.00114811	0.734964
106	8.8129	0.0011429	0.755289
107	8.81291	0.00113766	0.775957
108	8.81292	0.0011324	0.796968
109	8.81293	0.00112711	0.818325
110	8.81294	0.00112181	0.840029
111	8.81294	0.00111649	0.86208
112	8.81295	0.00111117	0.884482
113	8.81296	0.00110583	0.907235
114	8.81297	0.00110049	0.93034
115	8.81298	0.00109515	0.953799
116	8.81299	0.0010898	0.977614
117	8.813	0.00108447	1.00178
118	8.81301	0.00107913	1.02631
119	8.81302	0.0010738	1.0512
120	8.81303	0.00106849	1.07645
121	8.81304	0.00106318	1.10205
122	8.81305	0.00105788	1.12802
123	8.81306	0.0010526	1.15436
124	8.81307	0.00104733	1.18105
125	8.81309	0.00104207	1.20812
126	8.8131	0.00103684	1.23555
127	8.81311	0.00103162	1.26334
128	8.81312	0.00102641	1.2915
129	8.81313	0.00102123	1.32004
130	8.81314	0.00101607	1.34894
131	8.81316	0.00101092	1.37821
132	8.81317	0.0010058	1.40786
133	8.81318	0.0010007	1.43788
134	8.81319	0.000995617	1.46827
135	8.81321	0.000990559	1.49903
136	8.81322	0.000985523	1.53017
137	8.81323	0.00098051	1.56168
138	8.81325	0.000975519	1.59357
139	8.81326	0.000970551	1.62583
140	8.81327	0.000965607	1.65848
141	8.81329	0.000960686	1.6915
142	8.8133	0.000955789	1.72489
143	8.81332	0.000950915	1.75867
144	8.81333	0.000946064	1.79283
145	8.81335	0.000941238	1.82736
146	8.81336	0.000936435	1.86228
147	8.81338	0.000931656	1.89757
148	8.81339	0.000926901	1.93325
149	8.81341	0.00092217	1.9693
150	8.81342	0.000917462	2.00574
151	8.81344	0.000912779	2.04256
152	8.81346	0.000908119	2.07977
153	8.81347	0.000903482	2.11735
154	8.81349	0.00089887	2.15532
155	8.8135	0.00089428	2.19367
156	8.81352	0.000889715	2.23241
157	8.81354	0.000885172	2.27153
158	8.81356	0.000880654	2.31103
159	8.81357	0.000876158	2.35092
160	8.81359	0.000871685	2.39119
161	8.81361	0.000867236	2.43184
162	8.81363	0.00086281	2.47288
163	8.81364	0.000858406	2.5143
164	8.81366	0.000854025	2.55611
165	8.81368	0.000849667	2.5983
166	8.8137	0.000845332	2.64088
167	8.81372	0.000841019	2.68384
168	8.81374	0.000836728	2.72719
169	8.81376	0.00083246	2.77092
170	8.81378	0.000828214	2.81503
171	8.8138	0.000823989	2.85953
172	8.81382	0.000819787	2.90442
173	8.81384	0.000815607	2.94969
174	8.81386	0.000811448	2.99534
175	8.81388	0.000807311	3.04138
176	8.8139	0.000803196	3.0878
177	8.81392	0.000799101	3.1346
178	8.81394	0.000795029	3.18179
179	8.81396	0.000790977	3.22936
180	8.81399	0.000786946	3.27732
181	8.81401	0.000782936	3.32566
182	8.81403	0.000778948	3.37438
183	8.81405	0.000774979	3.42349
184	8.81407	0.000771032	3.47298
185	8.8141	0.000767105	3.52285
186	8.81412	0.000763198	3.5731
187	8.81414	0.000759312	3.62373
188	8.81417	0.000755446	3.67475
189	8.81419	0.0007516	3.72615
190	8.81421	0.000747774	3.77792
191	8.81424	0.000743967	3.83008
192	8.81426	0.000740181	3.88262
193	8.81429	0.000736414	3.93554
194	8.81431	0.000732667	3.98884
195	8.81434	0.000728939	4.04251
196	8.81436	0.000725231	4.09657
197	8.81439	0.000721541	4.151
198	8.81441	0.000717871	4.20581
199	8.81444	0.00071422	4.261
200	8.81446	0.000710588	4.31657
201	8.81449	0.000706974	4.37251
202	8.81452	0.00070338	4.42883
203	8.81454	0.000699804	4.48552
204	8.81457	0.000696246	4.54259
205	8.8146	0.000692707	4.60003
206	8.81462	0.000689186	4.65785
207	8.81465	0.000685684	4.71604
208	8.81468	0.0006822	4.77461
209	8.81471	0.000678733	4.83354
210	8.81474	0.000675285	4.89285
211	8.81477	0.000671854	4.95253
212	8.81479	0.000668441	5.01258
213	8.81482	0.000665046	5.073
214	8.81485	0.000661669	5.13379
215	8.81488	0.000658308	5.19495
216	8.81491	0.000654966	5.25648
217	8.81494	0.00065164	5.31838
218	8.81497	0.000648332	5.38064
219	8.815	0.00064504	5.44327
220	8.81503	0.000641766	5.50627
221	8.81506	0.000638509	5.56963
222	8.8151	0.000635268	5.63335
223	8.81513	0.000632044	5.69744
224	8.81516	0.000628837	5.7619
225	8.81519	0.000625647	5.82671
226	8.81522	0.000622472	5.89189
227	8.81526	0.000619315	5.95743
228	8.81529	0.000616173	6.02333
229	8.81532	0.000613048	6.08959
230	8.81535	0.000609939	6.1562
231	8.81539	0.000606846	6.22318
232	8.81542	0.000603768	6.29052
233	8.81546	0.000600707	6.35821
234	8.81549	0.000597661	6.42625
235	8.81552	0.000594632	6.49466
236	8.81556	0.000591617	6.56342
237	8.81559	0.000588618	6.63253
238	8.81563	0.000585635	6.70199
239	8.81567	0.000582667	6.77181
240	8.8157	0.000579715	6.84198
241	8.81574	0.000576777	6.9125
242	8.81577	0.000573855	6.98337
243	8.81581	0.000570947	7.05458
244	8.81585	0.000568055	7.12615
245	8.81588	0.000565178	7.19807
246	8.81592	0.000562315	7.27033
247	8.81596	0.000559467	7.34294
248	8.816	0.000556634	7.41589
249	8.81604	0.000553815	7.48918
250	8.81607	0.000551011	7.56282
251	8.81611	0.000548221	7.63681
252	8.81615	0.000545445	7.71113
253	8.81619	0.000542684	7.7858
254	8.81623	0.000539937	7.8608
255	8.81627	0.000537204	7.93615
256	8.81631	0.000534485	8.01183
257	8.81635	0.00053178	8.08785
258	8.81639	0.000529089	8.16421
259	8.81643	0.000526412	8.2409
260	8.81647	0.000523748	8.31793
261	8.81652	0.000521098	8.39529
262	8.81656	0.000518462	8.47298
263	8.8166	0.000515839	8.55101
264	8.81664	0.00051323	8.62937
265	8.81668	0.000510634	8.70806
266	8.81673	0.000508051	8.78707
267	8.81677	0.000505482	8.86642
268	8.81681	0.000502926	8.94609
269	8.81686	0.000500383	9.02609
270	8.8169	0.000497853	9.10642
271	8.81695	0.000495336	9.18707
272	8.81699	0.000492832	9.26804
273	8.81704	0.00049034	9.34934
274	8.81708	0.000487862	9.43096
275	8.81713	0.000485396	9.5129
276	8.81717	0.000482942	9.59516
277	8.81722	0.000480502	9.67774
278	8.81727	0.000478074	9.76064
279	8.81731	0.000475658	9.84385
280	8.81736	0.000473254	9.92738
281	8.81741	0.000470863	10.0112
282	8.81745	0.000468484	10.0954
283	8.8175	0.000466118	10.1799
284	8.81755	0.000463763	10.2646
285	8.8176	0.000461421	10.3497
286	8.81765	0.00045909	10.4352
287	8.8177	0.000456771	10.5209
288	8.81775	0.000454465	10.6069
289	8.8178	0.00045217	10.6932
290	8.81785	0.000449886	10.7799
291	8.8179	0.000447615	10.8668
292	8.81795	0.000445355	10.9541
293	8.818	0.000443106	11.0416
294	8.81805	0.000440869	11.1295
295	8.8181	0.000438644	11.2176
296	8.81816	0.00043643	11.3061
297	8.81821	0.000434227	11.3948
298	8.81826	0.000432035	11.4839
299	8.81831	0.000429855	11.5733
300	8.81837	0.000427685	11.6629
301	8.81842	0.000425527	11.7529
302	8.81847	0.00042338	11.8431
303	8.81853	0.000421244	11.9336
304	8.81858	0.000419119	12.0245
305	8.81864	0.000417004	12.1156
306	8.81869	0.0004149	12.207
307	8.81875	0.000412807	12.2987
308	8.8188	0.000410725	12.3907
309	8.81886	0.000408653	12.4829
310	8.81892	0.000406592	12.5755
311	8.81897	0.000404542	12.6683
312	8.81903	0.000402502	12.7615
313	8.81909	0.000400472	12.8549
314	8.81915	0.000398453	12.9486
315	8.8192	0.000396443	13.0426
316	8.81926	0.000394445	13.1368
317	8.81932	0.000392456	13.2314
318	8.81938	0.000390477	13.3262
319	8.81944	0.000388509	13.4213
320	8.8195	0.000386551	13.5166
321	8.81956	0.000384602	13.6123
322	8.81962	0.000382664	13.7082
323	8.81968	0.000380735	13.8044
324	8.81974	0.000378816	13.9008
325	8.8198	0.000376907	13.9976
326	8.81987	0.000375008	14.0946
327	8.81993	0.000373118	14.1918
328	8.81999	0.000371238	14.2894
329	8.82005	0.000369368	14.3872
330	8.82012	0.000367507	14.4853
331	8.82018	0.000365655	14.5836
332	8.82024	0.000363813	14.6822
333	8.82031	0.00036198	14.781
334	8.82037	0.000360157	14.8802
335	8.82044	0.000358343	14.9796
336	8.8205	0.000356538	15.0792
337	8.82057	0.000354742	15.1791
338	8.82064	0.000352956	15.2793
339	8.8207	0.000351178	15.3797
340	8.82077	0.00034941	15.4803
341	8.82084	0.00034765	15.5813
342	8.8209	0.0003459	15.6825
343	8.82097	0.000344158	15.7839
344	8.82104	0.000342426	15.8856
345	8.82111	0.000340702	15.9875
346	8.82118	0.000338986	16.0897
347	8.82125	0.00033728	16.1921
348	8.82131	0.000335582	16.2948
349	8.82138	0.000333893	16.3977
350	8.82145	0.000332212	16.5009
351	8.82153	0.00033054	16.6043
352	8.8216	0.000328877	16.7079
353	8.82167	0.000327222	16.8118
354	8.82174	0.000325575	16.916
355	8.82181	0.000323936	17.0203
356	8.82188	0.000322306	17.125
357	8.82196	0.000320685	17.2298
358	8.82203	0.000319071	17.3349
359	8.8221	0.000317466	17.4402
360	8.82218	0.000315869	17.5458
361	8.82225	0.000314279	17.6516
362	8.82232	0.000312698	17.7576
363	8.8224	0.000311125	17.8638
364	8.82247	0.00030956	17.9703
365	8.82255	0.000308003	18.077
366	8.82263	0.000306454	18.184
367	8.8227	0.000304913	18.2912
368	8.82278	0.000303379	18.3986
369	8.82286	0.000301854	18.5062
370	8.82293	0.000300336	18.614
371	8.82301	0.000298825	18.7221
372	8.82309	0.000297323	18.8304
373	8.82317	0.000295828	18.9389
374	8.82325	0.00029434	19.0476
375	8.82333	0.00029286	19.1566
376	8.82341	0.000291388	19.2657
377	8.82349	0.000289923	19.3751
378	8.82357	0.000288465	19.4847
379	8.82365	0.000287015	19.5945
380	8.82373	0.000285572	19.7046
381	8.82381	0.000284137	19.8148
382	8.82389	0.000282709	19.9253
383	8.82397	0.000281288	20.0359
384	8.82406	0.000279874	20.1468
