Time	[TCFBCatenin]	[pAkt]	[pERK]
0	8.8121	0	0
2	8.81264	1.12753e-06	3.95119e-10
4	8.81267	7.32666e-06	1.71533e-08
6	8.81267	2.05281e-05	1.46156e-07
8	8.81267	4.11135e-05	6.50896e-07
10	8.81267	6.8816e-05	2.0437e-06
12	8.81267	0.000103077	5.1569e-06
14	8.81267	0.000143197	1.12034e-05
16	8.81267	0.000188403	2.18263e-05
18	8.81266	0.000237892	3.91381e-05
20	8.81266	0.00029085	6.5749e-05
22	8.81266	0.000346475	0.000104785
24	8.81266	0.000403988	0.000159898
26	8.81266	0.000462647	0.000235264
28	8.81265	0.000521756	0.000335575
30	8.81265	0.000580672	0.000466024
32	8.81265	0.000638809	0.000632285
34	8.81265	0.000695644	0.000840478
36	8.81265	0.000750715	0.00109715
38	8.81264	0.000803627	0.00140922
40	8.81264	0.000854047	0.00178396
42	8.81264	0.000901704	0.00222893
44	8.81264	0.000946386	0.00275197
46	8.81264	0.000987937	0.00336111
48	8.81264	0.00102625	0.00406458
50	8.81263	0.00106128	0.00487071
52	8.81263	0.001093	0.00578792
54	8.81263	0.00112144	0.00682468
56	8.81263	0.00114666	0.00798948
58	8.81263	0.00116875	0.00929074
60	8.81263	0.00118783	0.0107368
62	8.81262	0.00120401	0.0123361
64	8.81262	0.00121746	0.0140965
66	8.81262	0.00122834	0.0160262
68	8.81262	0.0012368	0.0181329
70	8.81262	0.00124302	0.0204243
72	8.81262	0.00124718	0.0229077
74	8.81262	0.00124944	0.0255902
76	8.81261	0.00124998	0.0284787
78	8.81261	0.00124896	0.0315799
80	8.81261	0.00124654	0.0349
82	8.81261	0.00124286	0.0384453
84	8.81261	0.00123807	0.0422213
86	8.81261	0.0012323	0.0462337
88	8.8126	0.00122567	0.0504875
90	8.8126	0.0012183	0.0549878
92	8.8126	0.00121028	0.0597392
94	8.8126	0.00120171	0.0647459
96	8.8126	0.00119268	0.070012
98	8.8126	0.00118325	0.0755413
100	8.8126	0.00117351	0.0813373
102	8.81259	0.0011635	0.0874031
104	8.81259	0.00115328	0.0937418
106	8.81259	0.0011429	0.100356
108	8.81259	0.0011324	0.107248
110	8.81259	0.00112181	0.11442
112	8.81259	0.00111117	0.121875
114	8.81259	0.00110049	0.129613
116	8.81258	0.00108981	0.137636
118	8.81258	0.00107913	0.145946
120	8.81258	0.00106849	0.154544
122	8.81258	0.00105788	0.16343
124	8.81258	0.00104733	0.172605
126	8.81258	0.00103684	0.18207
128	8.81258	0.00102641	0.191825
130	8.81258	0.00101607	0.20187
132	8.81257	0.0010058	0.212205
134	8.81257	0.000995618	0.22283
136	8.81257	0.000985523	0.233744
138	8.81257	0.000975519	0.244947
140	8.81257	0.000965607	0.256438
142	8.81257	0.000955789	0.268217
144	8.81257	0.000946065	0.280282
146	8.81256	0.000936436	0.292632
148	8.81256	0.000926902	0.305267
150	8.81256	0.000917463	0.318185
152	8.81256	0.000908119	0.331384
154	8.81256	0.00089887	0.344864
156	8.81256	0.000889715	0.358621
158	8.81256	0.000880654	0.372656
160	8.81256	0.000871686	0.386965
162	8.81255	0.00086281	0.401548
164	8.81255	0.000854026	0.416401
166	8.81255	0.000845332	0.431524
168	8.81255	0.000836728	0.446913
170	8.81255	0.000828214	0.462567
172	8.81255	0.000819788	0.478483
174	8.81255	0.000811449	0.49466
176	8.81255	0.000803196	0.511094
178	8.81255	0.000795029	0.527783
180	8.81254	0.000786947	0.544725
182	8.81254	0.000778948	0.561918
184	8.81254	0.000771032	0.579358
186	8.81254	0.000763199	0.597042
188	8.81254	0.000755446	0.614969
190	8.81254	0.000747774	0.633136
192	8.81254	0.000740181	0.65154
194	8.81254	0.000732667	0.670177
196	8.81254	0.000725231	0.689046
198	8.81254	0.000717872	0.708143
200	8.81253	0.000710588	0.727465
202	8.81253	0.00070338	0.74701
204	8.81253	0.000696247	0.766775
206	8.81253	0.000689187	0.786756
208	8.81253	0.0006822	0.806951
210	8.81253	0.000675285	0.827357
212	8.81253	0.000668442	0.847971
214	8.81253	0.000661669	0.868789
216	8.81253	0.000654966	0.889809
218	8.81253	0.000648332	0.911028
220	8.81253	0.000641766	0.932442
222	8.81253	0.000635268	0.95405
224	8.81252	0.000628838	0.975847
226	8.81252	0.000622473	0.99783
228	8.81252	0.000616173	1.02
230	8.81252	0.000609939	1.04234
232	8.81252	0.000603769	1.06487
234	8.81252	0.000597662	1.08757
236	8.81252	0.000591618	1.11044
238	8.81252	0.000585635	1.13348
240	8.81252	0.000579715	1.15668
242	8.81252	0.000573855	1.18005
244	8.81252	0.000568055	1.20358
246	8.81252	0.000562315	1.22726
248	8.81252	0.000556634	1.25109
250	8.81252	0.000551011	1.27508
252	8.81252	0.000545445	1.29921
254	8.81252	0.000539937	1.32349
256	8.81252	0.000534485	1.34791
258	8.81252	0.000529089	1.37247
260	8.81252	0.000523748	1.39716
262	8.81252	0.000518462	1.42199
264	8.81252	0.00051323	1.44695
266	8.81252	0.000508052	1.47203
268	8.81252	0.000502926	1.49724
270	8.81252	0.000497853	1.52257
272	8.81252	0.000492832	1.54801
274	8.81252	0.000487862	1.57358
276	8.81252	0.000482943	1.59925
278	8.81252	0.000478074	1.62504
280	8.81252	0.000473255	1.65093
282	8.81252	0.000468485	1.67693
284	8.81252	0.000463763	1.70303
286	8.81252	0.00045909	1.72923
288	8.81253	0.000454465	1.75553
290	8.81253	0.000449886	1.78192
292	8.81253	0.000445355	1.8084
294	8.81253	0.000440869	1.83497
296	8.81253	0.00043643	1.86162
298	8.81253	0.000432035	1.88836
300	8.81253	0.000427686	1.91519
302	8.81253	0.00042338	1.94209
304	8.81254	0.000419119	1.96906
306	8.81254	0.000414901	1.99611
308	8.81254	0.000410725	2.02323
310	8.81254	0.000406593	2.05042
312	8.81254	0.000402502	2.07768
314	8.81254	0.000398453	2.105
316	8.81255	0.000394445	2.13238
318	8.81255	0.000390478	2.15982
320	8.81255	0.000386551	2.18732
322	8.81255	0.000382664	2.21488
324	8.81255	0.000378816	2.24248
326	8.81256	0.000375008	2.27014
328	8.81256	0.000371238	2.29785
330	8.81256	0.000367507	2.3256
332	8.81256	0.000363813	2.35339
334	8.81257	0.000360157	2.38123
336	8.81257	0.000356538	2.40911
338	8.81257	0.000352956	2.43702
340	8.81258	0.00034941	2.46497
342	8.81258	0.0003459	2.49296
344	8.81258	0.000342426	2.52097
346	8.81259	0.000338987	2.54902
348	8.81259	0.000335582	2.57709
350	8.81259	0.000332213	2.60519
352	8.8126	0.000328877	2.63331
354	8.8126	0.000325575	2.66145
356	8.8126	0.000322307	2.68962
358	8.81261	0.000319071	2.7178
360	8.81261	0.000315869	2.74599
362	8.81262	0.000312699	2.77421
364	8.81262	0.000309561	2.80243
366	8.81263	0.000306454	2.83067
368	8.81263	0.000303379	2.85891
370	8.81264	0.000300336	2.88717
372	8.81264	0.000297323	2.91542
374	8.81265	0.00029434	2.94369
376	8.81265	0.000291388	2.97195
378	8.81266	0.000288465	3.00022
380	8.81266	0.000285572	3.02848
382	8.81267	0.000282709	3.05675
384	8.81267	0.000279874	3.08501
386	8.81268	0.000277068	3.11326
388	8.81268	0.00027429	3.14151
390	8.81269	0.00027154	3.16975
392	8.8127	0.000268818	3.19798
394	8.8127	0.000266124	3.2262
396	8.81271	0.000263457	3.2544
398	8.81272	0.000260816	3.28259
400	8.81272	0.000258202	3.31077
402	8.81273	0.000255615	3.33893
404	8.81274	0.000253054	3.36707
406	8.81274	0.000250519	3.39519
408	8.81275	0.000248009	3.42329
410	8.81276	0.000245524	3.45137
412	8.81277	0.000243065	3.47943
414	8.81277	0.00024063	3.50746
416	8.81278	0.00023822	3.53546
418	8.81279	0.000235834	3.56344
420	8.8128	0.000233473	3.59139
422	8.81281	0.000231135	3.61931
424	8.81282	0.00022882	3.6472
426	8.81282	0.000226529	3.67506
428	8.81283	0.000224261	3.70288
430	8.81284	0.000222016	3.73067
432	8.81285	0.000219794	3.75843
434	8.81286	0.000217593	3.78615
436	8.81287	0.000215415	3.81383
438	8.81288	0.000213259	3.84148
440	8.81289	0.000211125	3.86908
442	8.8129	0.000209012	3.89665
444	8.81291	0.00020692	3.92417
446	8.81292	0.00020485	3.95165
448	8.81293	0.0002028	3.97909
450	8.81294	0.000200771	4.00649
452	8.81295	0.000198762	4.03384
454	8.81296	0.000196774	4.06114
456	8.81298	0.000194805	4.0884
458	8.81299	0.000192857	4.11561
460	8.813	0.000190928	4.14277
462	8.81301	0.000189018	4.16988
464	8.81302	0.000187127	4.19695
466	8.81303	0.000185256	4.22396
468	8.81305	0.000183403	4.25092
470	8.81306	0.000181569	4.27782
472	8.81307	0.000179754	4.30468
474	8.81309	0.000177956	4.33148
476	8.8131	0.000176177	4.35822
478	8.81311	0.000174415	4.38491
480	8.81312	0.000172672	4.41155
482	8.81314	0.000170945	4.43812
484	8.81315	0.000169237	4.46464
486	8.81317	0.000167545	4.4911
488	8.81318	0.00016587	4.51751
490	8.8132	0.000164212	4.54385
492	8.81321	0.000162571	4.57013
494	8.81322	0.000160946	4.59635
496	8.81324	0.000159338	4.62251
498	8.81325	0.000157745	4.64861
500	8.81327	0.000156169	4.67465
502	8.81329	0.000154608	4.70062
504	8.8133	0.000153063	4.72653
506	8.81332	0.000151534	4.75237
508	8.81333	0.00015002	4.77815
510	8.81335	0.000148521	4.80387
512	8.81337	0.000147037	4.82952
514	8.81338	0.000145568	4.8551
516	8.8134	0.000144114	4.88062
518	8.81342	0.000142675	4.90606
520	8.81344	0.000141249	4.93144
522	8.81345	0.000139838	4.95676
524	8.81347	0.000138442	4.982
526	8.81349	0.000137059	5.00717
528	8.81351	0.00013569	5.03228
530	8.81353	0.000134335	5.05731
532	8.81354	0.000132993	5.08228
534	8.81356	0.000131665	5.10717
536	8.81358	0.00013035	5.13199
538	8.8136	0.000129049	5.15675
540	8.81362	0.00012776	5.18142
542	8.81364	0.000126484	5.20603
544	8.81366	0.000125222	5.23056
546	8.81368	0.000123971	5.25503
548	8.8137	0.000122734	5.27941
550	8.81372	0.000121508	5.30373
552	8.81374	0.000120295	5.32797
554	8.81376	0.000119094	5.35213
