# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling10000.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' '10000.ka' -seed 127605259
# "uuid" : "1038655960"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
0.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,66,40,0,0,0,0,0,0,0,0,0,0,5,30,10,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
1.,138,2,0,0,0,0,0,40,0,0,40,0,49,0,0,15,0,40.,0,40,10,50,0,0,0,22,0,4,18,0,35,12,11,4,13,10,3,0,30,0,30,6,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
2.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,1,12,0,35,16,12,9,15,10,7,0,22,0,30,1,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
3.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,4,21,0,36,15,9,7,9,8,7,0,26,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
4.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,2,13,0,37,16,16,9,11,14,9,0,21,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,140,0,0,0,0,0
5.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,0,40,10,50,0,0,0,22,0,5,14,0,37,13,16,5,12,13,5,0,30,0,30,3,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,139,1,0,0,0,0
6.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,1,40,9,49,0,0,0,22,0,2,17,0,37,12,10,9,13,8,7,0,28,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,139,1,0,0,0,0
7.,140,0,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,1,40,9,49,0,0,0,22,0,1,13,0,40,14,12,8,9,12,8,0,31,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,139,1,0,0,0,0
8.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,1,40,9,49,0,0,0,22,0,2,14,0,42,16,16,6,6,12,6,0,30,1,30,3,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,139,1,0,0,0,0
9.,139,1,0,0,0,0,0,40,0,0,40,0,49,0,2,15,0,40.,1,40,9,49,0,0,0,22,0,3,14,0,37,16,14,8,15,13,5,0,26,0,30,4,0,0,140,35,140,0,0,0,0,0,140,0,0,0,0,0,138,2,0,0,0,0
