# Output of 'KaSim' 'AMPA5_equal.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_Basal.ka' '-l' '5000' '-p' '1' '-o' 'equal.out' -seed 717599127
# "uuid" : "629474052"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,0,0,0,108,0,0,0,0,11,0,25,0,13,0,18,9,0,0,0,40,1,16,0,19,14,0,0,5,1,30,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,0,0,108,0,0,0,2,17,0,30,0,12,0,23,10,0,0,0,33,1,11,0,15,9,0,0,6,0,30,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,0,0,0,0,12,0,33,0,13,0,19,10,0,0,0,31,2,13,2,19,10,0,0,10,0,30,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,0,0,108,0,1,1,1,15,0,31,0,13,0,19,9,0,0,0,31,3,10,2,13,7,2,0,17,1,30,3,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,0,0,0,1,13,0,29,0,14,0,22,11,0,0,0,32,4,10,3,17,8,2,0,17,1,30,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,0,1,1,5,13,0,29,0,11,0,27,9,0,0,0,28,4,13,3,12,11,2,0,14,3,30,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,1,0,0,108,2,2,2,3,18,1,29,0,12,0,29,11,0,0,0,26,8,7,3,10,5,3,0,23,1,30,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,0,0,0,108,0,1,1,4,14,3,29,0,14,0,22,12,0,0,0,26,7,10,1,19,6,1,0,25,1,30,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,17,0,33,33,0,0,0,108,3,4,4,0,14,3,27,0,9,0,15,5,0,0,0,28,11,11,5,16,10,4,0,22,2,30,0,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
10.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,14,0,36,36,0,0,0,108,0,1,1,1,15,4,26,0,14,0,23,9,0,0,0,28,11,10,1,11,9,1,0,24,7,30,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
11.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,13,0,37,37,0,0,0,108,0,3,3,2,11,3,27,0,12,0,21,10,0,0,0,28,9,11,2,10,11,2,0,27,2,30,1,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
12.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,15,0,35,35,0,0,0,108,0,4,4,2,8,8,24,0,14,0,21,10,0,0,0,30,10,11,4,11,9,3,0,24,1,30,1,0,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
13.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,16,0,34,34,0,0,0,108,3,11,11,1,10,13,27,0,13,0,16,8,0,0,0,28,10,8,2,12,6,2,0,21,2,30,1,3,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
14.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,16,0,34,34,0,0,0,108,0,5,5,1,9,18,26,0,8,0,23,6,0,0,0,32,7,12,3,8,9,2,0,24,0,30,0,0,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
15.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,4,8,8,1,5,25,25,0,11,0,12,8,0,0,0,35,5,11,4,9,8,3,0,21,0,30,1,4,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
16.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,1,5,5,0,6,28,28,0,9,0,9,7,0,0,0,31,7,14,1,16,12,1,0,21,1,30,1,1,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
17.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,2,10,10,3,10,24,23,0,10,0,17,8,0,0,0,34,6,10,2,13,10,2,1,16,3,30,1,2,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125
18.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,2,6,6,0,4,30,27,0,9,0,13,5,0,0,0,32,7,14,4,10,8,3,1,18,3,30,0,2,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,125
19.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,4,10,10,1,6,29,27,0,12,0,12,9,0,0,0,31,7,9,4,11,8,1,1,25,2,30,1,4,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,125
