# Output of 'KaSim' 'AMPA5_equal.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP.ka' '-l' '5000' '-p' '1' '-o' 'LTP_equal.out' -seed 268461231
# "uuid" : "785762501"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,46,0,4,4,0,0,0,108,0,0,0,2,16,0,26,0,14,0,16,11,0,0,0,38,0,10,0,18,8,0,0,0,0,30,4,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,0,0,0,3,11,0,25,0,13,0,17,11,0,0,0,37,1,15,1,18,14,1,0,1,0,30,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,0,0,0,2,18,0,26,0,11,0,22,6,0,0,0,36,2,11,0,14,11,0,0,9,1,30,2,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,1,0,0,108,1,1,1,2,14,0,26,0,11,0,26,10,0,0,0,34,4,13,2,14,12,1,0,14,2,30,2,1,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,0,0,0,108,0,1,1,4,21,0,26,0,10,0,21,7,0,0,0,31,5,8,1,16,6,1,0,12,3,30,1,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,0,0,0,0,16,0,27,0,9,0,23,5,0,0,0,33,6,15,0,14,15,0,0,18,1,30,0,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,22,0,28,28,0,0,0,108,1,2,2,1,17,0,27,0,9,0,22,8,0,0,0,32,6,12,2,11,11,2,0,20,1,30,0,1,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,20,0,30,30,0,0,0,108,0,2,2,3,15,1,31,0,12,0,20,10,0,0,0,25,7,12,1,12,10,1,0,23,3,30,1,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,16,0,34,34,0,0,0,108,1,3,3,0,17,2,31,0,11,0,27,9,0,0,0,28,7,11,1,17,9,1,0,25,3,30,1,1,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
10.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,13,0,37,37,0,0,0,108,0,1,1,2,13,3,33,0,15,0,23,9,0,0,0,20,11,4,6,15,3,6,0,25,4,30,2,0,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
11.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,14,0,36,36,1,0,0,108,1,4,4,1,15,4,26,0,9,0,19,9,0,0,0,24,15,10,4,15,9,4,0,22,1,30,2,1,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
12.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,13,0,37,37,1,0,0,108,2,6,6,2,9,10,30,0,14,0,22,12,0,0,0,21,13,9,2,16,7,2,0,23,2,30,0,2,125,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,125,0
13.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,12,0,38,38,0,0,0,108,1,4,4,1,6,17,29,0,12,0,21,7,0,0,0,24,12,9,7,10,8,5,0,24,4,30,1,1,125,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,125,125,0
14.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,14,0,36,36,0,0,0,108,0,1,1,0,13,17,30,0,8,0,18,5,0,0,0,25,11,9,1,14,6,0,0,28,2,30,0,0,125,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,125,125,0
15.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,13,0,37,37,0,0,0,108,3,6,6,1,4,19,30,0,11,0,20,9,0,0,0,23,12,8,7,7,8,4,0,23,5,30,0,3,125,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,125,125,0
16.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,19,0,31,31,0,0,0,108,3,8,8,1,3,24,30,0,14,0,20,12,0,0,0,25,10,10,5,15,7,5,3,17,3,30,1,3,125,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,125,125,0
17.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,5,11,11,2,8,26,33,0,15,0,15,11,0,0,0,22,9,8,2,15,6,2,3,18,2,30,1,5,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,125,125,0
18.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,19,0,31,31,0,0,0,108,2,7,7,2,9,28,38,0,16,0,16,14,0,0,0,18,8,7,2,15,2,0,4,23,2,30,4,2,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,125,125,0
19.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,20,0,30,30,1,0,0,108,4,12,12,2,7,30,33,0,18,0,9,11,0,0,0,21,10,5,3,9,3,2,4,21,1,30,1,4,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,125,125,0
20.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,0,0,0,108,5,16,16,1,2,34,35,0,20,0,10,15,0,0,0,18,12,7,4,16,4,2,4,20,7,30,4,5,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,125,125,0
21.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,22,0,28,28,0,0,0,108,5,11,11,3,5,34,30,0,13,0,16,6,0,0,0,24,9,11,3,6,10,1,5,20,7,30,1,5,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,125,125,0
22.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,22,0,28,28,0,0,0,108,3,18,18,1,7,36,32,0,11,0,16,7,0,0,0,24,9,11,4,10,9,3,6,18,1,30,2,3,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,125,125,0
23.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,20,0,30,30,0,0,0,108,1,12,12,4,7,37,27,0,12,0,12,9,0,0,0,25,10,8,3,9,6,3,6,22,1,30,2,1,125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
24.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,0,0,0,108,3,12,12,2,7,38,30,0,11,0,10,7,0,0,0,26,8,15,2,7,11,2,7,22,1,30,0,3,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
25.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,2,0,0,108,5,11,11,2,9,37,32,0,12,0,11,10,0,0,0,22,10,8,4,6,1,3,9,23,4,30,0,5,125,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
26.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,20,0,30,30,0,0,0,108,3,12,12,2,4,39,37,0,17,0,16,11,0,0,0,17,10,12,0,10,8,0,10,22,5,30,2,3,125,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
27.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,0,0,108,2,19,19,4,3,38,36,0,14,0,9,9,0,0,0,19,7,14,2,14,8,1,11,17,4,30,0,2,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,125,125,0
28.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,2,16,16,1,5,36,37,0,16,0,14,14,0,0,0,22,6,8,4,8,4,4,9,18,3,30,0,2,125,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
29.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,25,0,25,25,0,0,0,108,2,13,13,1,6,39,38,0,13,0,7,11,0,0,0,21,6,14,1,8,8,1,8,18,5,30,0,2,125,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
30.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,6,21,21,1,4,32,37,0,14,0,14,13,0,0,0,22,6,11,5,11,9,4,9,19,3,30,1,6,125,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
31.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,23,0,27,27,0,0,0,108,2,16,16,1,4,38,34,0,17,0,10,9,0,0,0,25,6,9,1,9,6,1,9,23,3,30,2,2,125,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
32.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,24,0,26,26,0,1,0,108,8,24,24,3,5,38,33,0,12,0,10,12,0,0,0,24,6,9,4,5,2,4,8,15,7,30,4,8,125,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
33.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,25,0,25,25,0,0,0,108,15,28,28,3,5,36,31,0,14,0,7,10,0,0,0,27,5,16,1,10,11,0,7,16,4,30,0,15,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,125,125,0
34.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,9,31,31,3,9,38,29,0,15,0,7,12,0,0,0,29,5,9,0,6,4,0,6,14,3,30,3,9,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,125,125,0
35.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,28,0,22,22,0,0,0,108,11,25,25,1,7,37,38,0,16,0,6,14,0,0,0,25,2,9,0,3,6,0,4,15,5,30,1,11,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,125,125,0
36.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,28,0,22,22,0,1,0,108,5,23,23,2,4,38,35,0,19,0,8,13,0,0,0,24,5,9,0,7,6,0,4,14,4,30,1,5,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,125,125,0
37.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,1,1,0,108,12,29,29,2,8,40,35,0,12,0,11,7,0,0,0,22,7,13,4,5,9,4,2,15,2,30,2,12,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,125,125,0
38.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,1,0,108,7,25,25,4,5,38,38,0,15,0,6,12,0,0,0,20,4,13,2,14,9,2,2,12,7,30,1,7,125,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,125,125,0
39.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,1,1,0,108,7,21,21,1,4,39,36,0,12,0,5,10,0,0,0,25,4,14,2,11,8,2,2,11,5,30,3,7,125,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,125,125,0
40.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,1,0,108,4,23,23,1,9,40,34,0,13,0,7,8,0,0,0,25,6,8,3,8,4,3,2,10,6,30,3,4,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,125,125,0
41.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,1,1,0,108,10,21,21,2,7,38,32,0,13,0,7,10,0,0,0,27,5,9,3,10,7,2,4,15,1,30,4,10,125,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,125,125,0
42.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,1,0,108,5,29,29,2,3,40,36,0,14,0,8,8,0,0,0,24,4,15,1,5,10,1,4,15,3,30,3,5,125,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,125,125,0
