# Output of 'KaSim' 'AMPA5_2080.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP.ka' '-l' '5000' '-p' '1' '-o' 'LTP_most23.out' -seed 845976714
# "uuid" : "754168688"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,0
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,0,0,0,2,13,0,16,0,5,0,3,5,0,0,0,48,0,22,0,34,15,0,0,8,0,30,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,0
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,26,0,24,24,0,0,0,108,0,0,0,2,16,0,18,0,6,0,8,6,0,0,0,44,2,16,2,20,11,1,0,20,1,30,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,0
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,21,0,29,29,0,0,0,108,0,0,0,0,16,0,15,0,5,0,7,4,0,0,0,45,6,16,3,26,12,2,0,22,1,30,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,0
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,22,0,28,28,1,0,0,108,1,2,2,0,11,0,15,0,7,0,5,4,0,0,0,45,6,19,3,32,12,2,0,22,4,30,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,200,0
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,0,0,0,108,0,0,0,0,13,0,14,0,7,0,12,6,0,0,0,46,6,16,4,29,13,3,0,27,1,30,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,200,0
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,17,0,33,33,1,0,0,108,1,2,2,0,18,0,13,0,4,0,8,4,0,0,0,47,6,16,2,30,13,2,0,25,3,30,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,200,0
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,18,0,32,32,1,0,0,108,1,2,2,2,21,0,12,0,4,0,9,4,0,0,0,44,8,12,3,24,8,2,0,22,1,30,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,200,0
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,19,0,31,31,0,0,0,108,0,0,0,4,19,0,12,0,3,0,9,3,0,0,0,41,9,16,2,25,11,2,0,18,1,30,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,200,0
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,15,0,35,35,0,0,0,108,0,0,0,1,13,0,12,0,8,0,8,6,0,0,0,42,11,16,3,35,14,2,0,28,1,30,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,200,0
