# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_5.ka' '-l' '5000' '-p' '1' '-o' 'LTP_5.out' -seed 673055495
# "uuid" : "283029600"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,46,0,4,4,0,0,0,108,0,0,0,0,11,0,53,0,23,0,25,20,0,0,0,13,0,6,0,7,4,0,0,1,1,30,5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,0,0,0,3,13,0,52,0,22,0,33,18,0,0,0,11,0,5,0,11,4,0,0,4,0,30,3,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,0,0,0,1,15,0,55,0,21,0,36,19,0,0,0,10,0,4,0,6,3,0,0,7,0,30,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,0,0,108,0,0,0,0,15,0,55,0,23,0,35,19,0,0,0,8,3,1,1,5,1,1,0,7,0,30,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,0,0,108,0,0,0,2,15,0,51,0,20,0,27,16,0,0,0,8,5,4,1,6,2,1,0,7,1,30,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,0,1,1,0,13,0,51,0,23,0,26,20,0,0,0,10,5,3,1,3,3,1,0,12,2,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,0,1,1,1,13,1,52,0,19,0,28,13,0,0,0,10,3,5,3,7,2,1,0,15,1,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,0,2,2,0,19,2,54,0,18,0,30,11,0,0,0,9,3,1,1,3,1,1,0,11,0,30,2,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,1,0,0,108,1,1,1,0,16,2,51,0,19,0,25,14,0,0,0,11,4,5,0,7,4,0,0,14,0,30,3,1,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
10.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,1,0,0,108,1,4,4,0,14,4,50,0,19,0,39,14,0,0,0,9,7,5,2,2,3,2,0,13,0,30,1,1,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
11.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,0,0,108,2,7,7,0,9,3,52,0,23,0,23,19,0,0,0,9,5,5,2,5,4,2,0,14,3,30,3,2,200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
12.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,0,0,0,108,0,2,2,4,14,5,45,0,17,0,40,16,0,0,0,11,6,3,3,2,1,2,0,13,2,30,3,0,200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
13.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,1,0,0,108,2,6,6,0,14,17,53,0,19,0,30,14,0,0,0,9,4,4,1,4,4,1,0,6,2,30,2,2,200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
14.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,33,0,17,17,0,0,0,108,4,14,14,1,7,17,52,0,22,0,29,16,0,0,0,9,4,5,2,2,4,1,1,6,4,30,2,4,201,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
15.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,1,0,0,108,1,5,5,2,6,22,54,0,22,0,34,14,0,0,0,9,1,5,2,5,2,1,1,11,2,30,1,1,201,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
16.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,0,0,0,108,4,10,10,4,7,22,53,0,24,0,36,20,0,0,0,8,1,2,1,3,2,0,1,12,1,30,0,4,201,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
17.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,0,0,108,2,8,8,2,8,29,52,0,21,0,20,18,0,0,0,8,4,5,0,3,2,0,3,12,6,30,0,2,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202,50,0
18.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,1,0,0,108,5,15,15,2,3,21,50,0,23,0,26,16,0,0,0,9,5,4,3,4,3,2,2,11,2,30,1,5,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202,50,0
