# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_PSD_50.ka' '-l' '5000' '-p' '1' '-o' 'LTP_Slot_50.out' -seed 840738307
# "uuid" : "206358218"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
0.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,50,0,0,0,0,0,0,108,0,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,10,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
1.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,47,0,3,3,0,0,0,108,0,0,0,0,14,0,56,0,21,0,32,17,0,0,0,10,0,5,0,8,4,0,0,2,0,30,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
2.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,44,0,6,6,0,0,0,108,0,0,0,0,9,0,52,0,25,0,35,21,0,0,0,13,1,6,0,5,5,0,0,5,1,30,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
3.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,43,0,7,7,0,0,0,108,0,0,0,1,15,0,51,0,20,0,36,16,0,0,0,13,1,5,0,4,5,0,0,6,0,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
4.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,0,0,0,2,15,0,51,0,20,0,31,17,0,0,0,12,1,5,0,8,5,0,0,7,0,30,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
5.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,0,1,1,2,16,0,55,0,21,0,23,19,0,0,0,8,1,3,0,5,2,0,0,6,1,30,0,0,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,0
6.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,42,0,8,8,0,0,0,108,0,0,0,2,11,0,57,0,26,0,37,21,0,0,0,6,1,3,0,6,3,0,0,5,1,30,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
7.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,41,0,9,9,0,0,0,108,1,1,1,3,15,0,52,0,22,0,42,18,0,0,0,9,2,3,0,7,1,0,0,7,1,30,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
8.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,40,0,10,10,2,0,0,108,2,3,3,2,14,1,51,0,15,0,34,14,0,0,0,11,2,10,0,5,8,0,0,7,1,30,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
9.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,38,0,12,12,0,0,0,108,1,2,2,3,17,0,49,0,18,0,32,13,0,0,0,9,5,4,1,3,3,1,0,7,2,30,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,50,0
