# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta.ka' '-l' '5000' '-p' '1' '-o' 'Delta_4.out' -seed 253610854
# "uuid" : "202584757"
"[T]","Glu_events_total","B0","B1","B2","B3","B4","S0","S1","S2","S3","S4","M0","M1","M2","M3","M4","L0","L1","L2","L3","L4","S0_p","S1_p","S2_p","S3_p","S4_p","M0_p","M1_p","M2_p","M3_p","M4_p","L0_p","L1_p","L2_p","L3_p","L4_p","S0_pp","S1_pp","S2_pp","S3_pp","S4_pp","M0_pp","M1_pp","M2_pp","M3_pp","M4_pp","L0_pp","L1_pp","L2_pp","L3_pp","L4_pp","Glu_Trigger","Glutamate_level","CaGlu","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance_S845_measure","Conductance_S831_measure","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","PKC_PICK1_AMPAR","PKC_AMPAR","AMPA_S880_membrane","AMPA_Y876_membrane","AMPA_PSD","AMPA_mPSD","AMPA_mX","AMPA_mEZ","AMPA_X","AMPA_EZ","AMPA_endo","AMPA_membrane","AMPA_mobile","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,45,0,0,45,45,0,0,0,108,0,0,45.,135,21,45,9,54,0,62,30,0,5,1,0,108,5,19,19,1221,16,4,4,0,3,0,0,2,25,45,0,0,0,0,0,55,45,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,0,0,0,1,0,0,0,0
1.,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,45,0,0,45,45,0,0,0,108,0,0,45.,135,21,45,9,54,31,115,30,11,695,271,0,108,692,1514,1514,1233,16,37,37,0,31,0,0,5,23,45,4,0,0,0,0,55,45,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,2,0,0,1,0,0,0,0
2.,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,45,0,0,45,43,2,0,0,108,0,4,45.,135,21,45,9,54,29,100,30,10,784,528,0,106,784,1572,1572,1229,17,37,37,0,31,0,0,7,25,45,3,0,0,0,0,55,45,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,4,0,0,1,0,0,0,0
3.,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,6,0,39,0,0,45,43,2,0,1,107,1,9,45.,141,21,45,9,54,25,157,30,11,764,659,1,103,764,1573,1573,1231,17,38,38,0,27,0,1,6,22,45,3,0,0,0,0,55,45,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,6,0,0,2,0,0,0,0
4.,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,7,0,38,1,0,44,43,2,0,11,97,7,13,45.5,142,21,45,9,54,33,180,30,17,770,775,1,85,769,1569,1569,1228,11,39,39,0,31,0,0,7,19,45,2,0,0,0,0,55,45,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,8,0,0,2,0,0,0,0
5.,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,8,0,37,5,1,39,44,1,0,22,86,12,13,48.5,143,22,45,8,53,29,184,30,15,761,903,1,68,760,1577,1577,1236,16,40,40,0,35,0,0,8,18,45,4,0,0,0,0,55,45,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,10,0,0,2,0,0,0,0
6.,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,9,0,36,8,1,36,44,0,1,41,67,15,13,50.,144,22,45,8,53,32,169,30,14,757,1018,3,48,757,1575,1575,1228,16,39,39,0,31,0,0,6,21,45,2,0,0,0,0,55,45,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,12,0,0,2,0,0,0,0
7.,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,12,0,33,10,2,33,44,0,1,51,57,18,13,52.,147,22,45,8,53,29,175,30,16,751,1129,5,31,750,1575,1575,1223,14,39,39,0,32,0,1,5,14,45,2,0,0,0,0,55,45,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,14,0,0,2,0,0,0,0
8.,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,13,1,31,12,4,29,44,0,1,54,54,17,14,55.,153,22,45,8,53,7,25,30,17,226,1206,6,20,225,1534,1534,1236,14,37,37,0,31,0,1,9,22,45,3,0,0,0,0,55,45,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,15,0,0,3,0,0,0,0
9.,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,16,1,28,14,7,24,44,1,0,56,52,23,13,59.,156,22,45,8,53,3,14,30,16,93,1220,7,11,92,1428,1428,1232,14,26,26,0,23,0,0,8,16,45,3,0,0,0,0,55,45,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,1,15,0,0,3,0,0,0,0
