# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_5.out' -seed 841696590
# "uuid" : "43450608"
"[T]","B0","B1","B2","B3","B4","S0","S1","S2","S3","S4","M0","M1","M2","M3","M4","L0","L1","L2","L3","L4","S0_p","S1_p","S2_p","S3_p","S4_p","M0_p","M1_p","M2_p","M3_p","M4_p","L0_p","L1_p","L2_p","L3_p","L4_p","S0_pp","S1_pp","S2_pp","S3_pp","S4_pp","M0_pp","M1_pp","M2_pp","M3_pp","M4_pp","L0_pp","L1_pp","L2_pp","L3_pp","L4_pp","Glu_Trigger","Glutamate_level","CaGlu","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance_S845_measure","Conductance_S831_measure","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","PKC_PICK1_AMPAR","PKC_AMPAR","AMPA_S880_membrane","AMPA_Y876_membrane","AMPA_PSD","AMPA_mPSD","AMPA_mX","AMPA_mEZ","AMPA_X","AMPA_EZ","AMPA_endo","AMPA_membrane","AMPA_mobile","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,10,0,0,10,10,0,0,0,108,0,0,10.,30,0,10,2,12,0,0,30,0,9,25,0,107,9,527,527,0,14,1,1,0,1,0,0,3,49,10,0,2,0,90,0,0,100,2,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,0,0,0,0,0,0,0,0,0
1.,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,10,0,0,10,10,0,0,0,108,0,0,10.,30,0,10,2,12,1,7,30,4,51,24,0,103,50,625,625,23,14,4,4,0,4,0,0,3,55,10,2,18,0,90,0,0,100,20,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,0,5,0,0,9,0,0,0,0
2.,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,10,0,0,10,10,0,0,0,108,0,4,10.,30,0,10,2,12,8,19,30,9,163,41,0,104,160,1036,1036,22,21,30,30,0,25,0,1,5,58,10,2,14,0,90,0,0,100,16,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,9,0,0,9,0,0,0,0
3.,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,9,1,0,8,9,0,0,0,108,2,4,9.5,27,1,9,2,11,5,35,30,15,212,100,0,102,212,1331,1331,26,21,32,32,0,25,0,0,10,49,9,5,13,0,91,0,0,100,18,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,14,0,0,9,0,0,0,0
4.,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,14,1,0,13,14,0,0,3,105,3,7,14.5,42,4,14,4,18,9,41,30,13,229,174,0,96,228,1436,1436,35,13,34,34,0,29,0,1,8,52,14,8,17,0,86,0,0,100,25,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,19,0,0,9,0,0,0,0
5.,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,16,1,0,15,16,0,0,6,102,6,12,16.5,48,7,16,9,25,8,30,30,6,236,263,1,91,236,1472,1472,28,21,34,34,0,27,0,0,13,45,16,6,15,0,84,0,0,100,21,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,0,25,0,0,9,0,0,0,0
6.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,1,0,21,3,0,19,22,0,0,14,94,8,11,23.5,67,0,22,9,31,1,14,30,10,78,285,1,73,77,1402,1402,37,23,26,26,0,18,0,2,16,44,22,12,12,0,78,0,0,100,24,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,25,0,0,0,0,0,0,0
7.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,1,0,21,2,1,19,22,0,0,20,88,7,13,24.,67,0,22,9,31,2,15,30,15,36,289,1,63,36,1325,1325,39,27,22,22,0,16,0,1,17,46,22,8,19,0,78,0,0,100,27,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,25,0,0,0,0,0,0,0
8.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,2,0,20,3,1,18,22,0,0,27,81,7,15,24.5,68,0,22,9,31,0,6,30,7,13,287,1,50,13,1236,1236,42,23,16,16,0,13,0,0,20,42,22,8,18,0,78,0,0,100,26,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,25,0,0,0,0,0,0,0
9.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,2,0,20,3,1,18,22,0,0,37,71,6,14,24.5,68,0,22,9,31,2,5,30,13,41,287,1,42,40,1142,1142,41,19,14,14,0,12,0,0,19,45,22,8,17,0,78,0,0,100,25,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,25,0,0,0,0,0,0,0
10.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,2,0,20,4,1,17,22,0,0,40,68,10,14,25.,68,0,22,9,31,1,12,30,10,24,284,1,30,24,1064,1064,40,25,7,7,0,6,0,0,21,43,22,8,21,0,78,0,0,100,29,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26,1,25,0,0,0,0,0,0,0
