"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,50,146,95,0,5,7,3,6,3,12,0,482,146,0,0,0,0,0,3,0,6,2,1,7,0,0,12,13,95,2,6,400,12,5,17,0,6,30,2,5,225,0,30,5,522,522,0,15,4,4,0,4,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
2.,50,148,95,1,2,8,0,4,2,10,0,486,148,0,0,0,0,0,4.5,1,6,4,1,7,0,0,16,14,94,3,5,400,16,4,20,0,5,30,3,7,227,0,21,7,520,520,0,18,2,2,0,2,669,531,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
3.,50,145,99,2,6,2,0,4,0,8,0,488,145,0,0,0,0,0,2.5,2,5,1,1,9,0,0,12,13,95,1,7,400,12,6,18,0,1,30,1,9,229,0,31,9,523,523,0,11,1,1,0,0,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
4.,50,149,97,0,2,4,0,2,2,6,0,492,149,0,0,0,0,0,3,3,9,5,1,7,0,0,18,12,96,0,8,400,18,2,20,0,3,30,1,8,228,0,22,8,510,510,3,21,3,3,0,2,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
5.,47,148,96,4,4,6,4,2,2,10,0,488,148,0,0,0,0,0,2.5,4,4,3,0,7,0,0,13,11,97,0,8,400,13,7,20,0,3,30,2,7,229,0,29,7,503,503,1,14,5,5,0,5,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
6.,49,148,98,1,4,4,2,0,0,8,0,492,148,0,0,0,0,0,5,2,5,4.5,2,6,0,0,17,10,98,3,5,400,17,4,21,0,4,30,2,13,227,0,23,13,501,501,2,11,5,5,0,5,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
7.,48,146,99,3,6,2,4,2,0,8,0,490,146,0,0,0,0,0,2.5,2,7,4.5,1,4,0,0,14,12,96,1,7,400,14,4,18,1,1,30,2,11,229,0,19,11,497,497,0,17,4,4,0,4,657,543,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
8.,48,150,97,3,1,4,1,1,2,5,0,494,150,0,0,0,0,0,1.5,4,6,3.5,2,4,0,0,13,11,97,1,7,400,13,3,16,0,2,30,1,13,232,0,33,13,492,492,1,16,4,4,0,2,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
9.,49,146,94,1,9,8,1,3,4,17,0,480,146,0,0,0,0,0,2.5,1,7,5,2,1,0,0,13,14,94,1,7,400,13,3,16,1,3,30,2,8,232,0,22,8,482,482,0,15,1,1,0,1,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
10.,47,148,96,4,7,3,1,2,5,10,0,488,148,0,0,0,0,0,0.5,1,10,1,3,7,0,0,12,13,95,2,6,400,12,5,17,0,6,30,2,8,234,0,27,8,475,475,1,17,5,5,0,4,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
11.,48,147,97,3,6,2,2,4,4,8,0,488,147,0,0,0,0,0,4,1,5,2.5,0,9,0,0,14,14,94,3,5,400,14,4,18,0,5,30,2,5,232,0,30,5,489,489,0,19,2,2,0,1,663,537,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
12.,50,146,92,0,5,12,3,7,4,17,0,476,146,0,0,0,0,0,3,0,6,4.5,0,3,0,0,12,17,91,2,6,400,12,0,12,0,7,30,3,11,231,0,33,11,490,490,0,17,3,3,0,3,659,541,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
