"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,47,146,98,6,6,3,2,3,1,9,0,488,146,0,0,0,0,0,3.5,4,6,3.5,4,6,0,0,17,5,103,1,7,400,17,7,24,29,109,30,14,770,574,0,25,769,1561,1561,3,11,40,40,0,33,658,542,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,48,145,97,2,9,5,5,2,1,14,0,484,145,0,0,0,0,0,2.5,2,8,4.5,0,6,0,0,15,5,103,4,10,400,15,7,22,30,121,30,9,764,757,0,33,764,1576,1576,0,11,39,39,0,36,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,48,148,97,4,3,3,1,4,3,6,0,490,148,0,0,0,0,0,4,2,6,3.5,3,6,0,0,16,18,90,4,10,400,16,4,20,35,182,30,16,793,902,0,25,793,1571,1571,0,10,38,38,0,34,648,552,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,50,144,98,1,8,2,2,6,2,10,0,484,144,0,0,0,0,0,3,2,3,2.5,1,5,0.5,0,10,24,84,7,14,400,11,7,18,36,169,30,9,753,1052,1,21,751,1577,1577,1,13,39,39,0,35,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,50,147,95,1,3,7,1,6,3,10,0,484,147,0,0,0,0,0,2.5,1,5,2,1,6,0,0,11,30,78,9,14,400,11,2,13,5,19,30,18,108,1092,2,10,108,1480,1480,1,13,31,31,0,23,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,49,145,97,2,8,5,2,3,1,13,0,484,145,0,0,0,0,0,3,9,3,3.5,1,10,0,0,18,40,68,17,14,400,18,6,24,2,9,30,11,59,1101,3,6,59,1375,1375,2,15,23,23,0,17,663,537,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,50,144,97,1,9,3,1,6,3,12,0,482,144,0,0,0,0,0,2.5,8,4,4,4,5,0.5,0,16,42,66,22,13,400,17,5,22,1,10,30,12,40,1113,5,9,40,1254,1254,1,17,18,18,0,16,660,540,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,47,145,96,5,8,7,4,3,1,15,0,482,145,0,0,0,0,0,3,7,4,4.5,4,4,0,0,17,50,58,18,14,400,17,4,21,0,4,30,11,33,1113,5,5,33,1164,1164,0,14,13,13,0,11,660,540,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,49,147,97,3,3,6,1,3,0,9,0,488,147,0,0,0,0,0,2,5,2,2.5,3,3,0,0,11,49,59,21,13,400,11,3,14,3,2,30,11,20,1119,5,6,20,1055,1055,2,15,8,8,0,7,672,528,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
10.,49,147,97,3,3,3,1,6,3,6,0,488,147,0,0,0,0,0,2.5,4,3,4,4,0,0.5,0,11,53,55,16,13,400,12,9,21,0,1,30,12,18,1127,6,3,18,992,992,1,11,5,5,0,4,664,536,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
11.,48,147,97,5,3,4,1,5,2,7,0,488,147,0,0,0,0,0,4,6,3,5,6,1,0,0,17,57,51,16,13,400,17,4,21,0,4,30,11,15,1131,7,3,15,927,927,0,14,10,10,0,8,660,540,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
