"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,62,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,50,141,99,4,10,2,0,8,0,12,0,480,141,0,0,0,0,0,3.5,2,5,3.5,1,6,0,0,14,9,99,2,6,400,14,7,21,0,5,30,1,12,229,0,31,12,510,510,2,10,3,3,0,1,670,530,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,51,144,96,1,5,7,1,8,1,12,0,480,144,0,0,0,0,0,3,3,5,3.5,1,6,0,0,14,11,97,1,7,400,14,9,23,0,3,30,1,8,234,0,30,8,527,527,1,12,3,3,0,3,674,526,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,50,143,99,3,7,0,1,9,2,7,0,484,143,0,0,0,0,0,4,1,4,2.5,3,5,0,0,13,16,92,1,7,400,13,9,22,0,7,30,1,11,236,0,21,11,508,508,1,11,4,4,0,4,673,527,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,49,146,98,4,4,4,0,4,0,8,0,488,146,0,0,0,0,0,1.5,2,5,2.5,2,3,0,0,10,15,93,1,7,400,10,8,18,0,3,30,4,12,237,0,17,12,535,535,1,20,3,3,0,3,672,528,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,51,145,97,0,5,5,1,6,1,10,0,484,145,0,0,0,0,0,5,3,4,5,1,6,0,0,17,20,88,0,8,400,17,6,23,1,6,30,1,17,240,0,20,17,538,538,0,19,5,5,0,4,669,531,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,49,144,97,4,6,6,2,6,0,12,0,482,144,0,0,0,0,0,6,1,2,1.5,1,11,0,0,15,22,86,0,6,400,15,7,22,1,5,30,4,13,241,0,16,12,552,552,0,12,5,5,0,4,673,527,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,48,147,97,3,4,4,4,4,2,8,0,488,147,0,0,0,0,0,5,1,3,2,3,7,0,0,14,18,90,1,5,400,14,7,21,2,6,30,4,16,243,0,18,16,582,582,0,10,7,7,0,5,672,528,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,49,143,96,1,13,6,3,3,2,19,0,478,143,0,0,0,0,0,1.5,2,3,2,0,4,0,0,8,15,93,1,5,400,8,5,13,0,6,30,4,12,249,0,25,12,595,595,1,12,4,4,0,4,670,530,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,48,147,97,1,6,4,6,2,2,10,0,488,147,0,0,0,0,0,3.5,5,5,3.5,1,9,0,0,17,12,96,0,6,400,17,10,27,1,3,30,4,11,250,0,24,11,595,595,0,12,3,3,0,3,670,530,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
10.,48,146,95,4,7,5,1,6,5,12,0,482,146,0,0,0,0,0,3,3,6,2,1,10,0,0,15,12,96,0,6,400,15,6,21,0,7,30,6,12,250,0,26,12,608,608,1,18,2,2,0,1,666,534,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
11.,48,146,94,3,8,10,2,2,2,18,0,480,146,0,0,0,0,0,2.5,4,10,3,0,13,0,0,19,10,98,0,6,400,19,7,26,0,7,30,3,21,253,0,28,21,644,644,0,11,2,2,0,2,662,538,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
12.,50,146,95,1,4,7,2,7,3,11,0,482,146,0,0,0,0,0,2.5,2,4,2,1,6,0,0,11,12,96,1,5,400,11,11,22,1,8,30,3,20,254,0,24,19,650,650,0,15,6,6,0,5,666,534,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
13.,48,146,95,4,6,8,2,4,2,14,0,482,146,0,0,0,0,0,3,2,10,2,2,12,0,0,18,12,96,2,4,400,18,9,27,1,8,30,7,18,258,0,21,18,653,653,0,10,5,5,0,4,662,538,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
14.,48,148,97,4,2,4,2,4,2,6,0,490,148,0,0,0,0,0,3.5,0,10,4.5,0,8,0,0,17,11,97,0,6,400,17,3,20,0,5,30,5,14,260,0,22,14,653,653,0,13,6,6,0,5,667,533,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
15.,48,147,95,2,6,7,4,3,3,13,0,484,147,0,0,0,0,0,4.5,1,9,3,1,12,0,0,19,13,95,1,5,400,19,6,25,0,4,30,9,16,261,0,21,16,654,654,2,9,8,8,0,8,667,533,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
16.,49,148,95,0,7,5,1,2,5,12,0,486,148,0,0,0,0,0,2,4,9,2.5,1,11,0,0,17,12,96,1,5,400,17,5,22,0,9,30,4,18,263,0,27,18,672,672,1,15,6,6,0,4,663,537,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
17.,48,149,97,2,4,3,2,1,3,7,0,492,149,0,0,0,0,0,2,2,7,2.5,0,8,0,0,13,11,97,2,4,400,13,5,18,0,6,30,3,26,267,0,30,25,672,672,1,18,3,3,0,3,660,540,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
18.,48,147,95,3,6,6,2,4,4,12,0,484,147,0,0,0,0,0,6.5,1,6,5,0,10,0,0,20,8,100,1,5,400,20,3,23,1,5,30,7,23,271,0,24,23,719,719,2,18,4,4,0,3,652,548,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
19.,47,148,97,3,5,4,5,1,2,9,0,490,148,0,0,0,0,0,2,4,8,1,0,14,0,0,16,8,100,0,6,400,16,7,23,1,4,30,6,16,271,0,30,16,728,728,0,17,3,3,0,3,656,544,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
