"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,0,1,1,1,1
1.,49,145,97,3,5,4,3,7,2,9,0,484,145,0,0,0,0,0,4.5,5,4,3.5,3,8,0,0,18,8,100,1,7,400,18,4,22,0,3,30,3,11,225,0,23,11,504,504,0,19,6,6,0,5,664,536,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
2.,48,145,98,4,8,3,2,3,1,11,0,486,145,0,0,0,0,0,3.5,1,7,4,1,6,0,0,15,8,100,2,6,400,15,7,22,0,1,30,2,12,226,0,27,12,495,495,0,14,6,6,0,5,659,541,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
3.,48,147,99,3,4,2,4,2,0,6,0,492,147,0,0,0,0,0,3,0,7,3.5,1,5,0,0,13,12,96,1,7,400,13,2,15,0,6,30,2,4,226,0,22,4,490,490,0,11,3,3,0,3,663,537,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
4.,49,144,97,2,8,4,4,6,2,12,0,482,144,0,0,0,0,0,1.5,2,12,3.5,1,9,0,0,17,13,95,0,8,400,17,6,23,1,4,30,1,12,226,0,23,12,501,501,0,12,0,0,0,0,664,536,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
5.,47,147,97,6,3,5,3,4,1,8,0,488,147,0,0,0,0,0,3,0,7,2.5,1,7,0,0,13,10,98,2,6,400,13,5,18,0,6,30,3,8,226,1,28,7,506,506,1,18,3,3,0,3,664,536,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
6.,49,144,94,1,10,8,4,6,4,18,0,476,144,0,0,0,0,0,2,4,5,3,1,6,0,0,13,10,98,1,7,400,13,7,20,0,6,30,2,6,226,1,23,6,506,506,1,22,2,2,0,1,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
7.,47,145,95,6,6,7,4,7,3,13,0,480,145,0,0,0,0,0,2.5,2,8,2.5,1,9,0,0,15,10,98,2,6,400,15,7,22,1,7,30,2,8,226,1,24,8,506,506,2,16,2,2,0,1,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
8.,50,146,98,0,4,3,4,5,1,7,0,488,146,0,0,0,0,0,2,1,9,4.5,2,3,0,0,14,10,98,1,7,400,14,7,21,0,1,30,2,11,228,1,31,9,492,492,1,16,2,2,0,2,666,534,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
9.,47,145,97,5,6,4,6,6,2,10,0,484,145,0,0,0,0,0,2.5,1,11,5.5,2,4,0,0,17,12,96,4,3,400,17,8,25,1,7,30,1,9,230,1,26,8,486,486,0,13,0,0,0,0,670,530,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
