"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,48,146,98,4,4,4,4,4,0,8,0,488,146,0,0,0,0,0,2.5,3,3,2.5,0,6,0,0,11,8,100,1,7,400,11,4,15,0,1,30,2,8,224,0,22,8,517,517,1,21,2,2,0,2,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,49,145,98,3,5,4,3,5,0,9,0,486,145,0,0,0,0,0,1.5,3,3,1.5,1,5,0,0,9,7,101,0,8,400,9,2,11,0,3,30,1,7,222,0,28,7,491,491,0,13,3,3,0,2,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,50,144,97,2,7,4,1,7,2,11,0,482,144,0,0,0,0,0,2.5,3,5,1.5,1,9,0,0,13,7,101,3,5,400,13,4,17,1,3,30,2,12,222,0,24,12,480,480,0,17,2,2,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,48,146,97,5,3,1,3,10,5,4,0,486,146,0,0,0,0,0,3.5,4,3,4,0,6,0,0,14,9,99,2,6,400,14,5,19,0,7,30,4,13,226,0,28,12,490,490,2,16,4,4,0,3,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,50,146,96,1,3,5,3,8,3,8,0,484,146,0,0,0,0,0,2,3,3,1.5,2,5,0,0,10,10,98,0,8,400,10,7,17,0,3,30,2,8,229,0,25,8,483,483,1,14,4,4,0,3,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,48,147,98,3,6,4,2,0,0,10,0,490,147,0,0,0,0,0,4.5,0,6,2.5,0,10,0,0,15,9,99,1,7,400,15,7,22,0,6,30,5,6,231,0,24,6,480,480,0,19,5,5,0,5,658,542,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,50,146,98,0,4,2,4,6,2,6,0,488,146,0,0,0,0,0,2.5,1,5,1.5,1,7,0,0,11,8,100,1,7,400,11,5,16,0,4,30,3,5,232,0,32,5,480,480,1,10,6,6,0,4,650,550,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,48,148,97,2,3,4,5,3,2,7,0,490,148,0,0,0,0,0,3.5,0,4,2,0,7,0,0,11,7,101,0,7,400,11,4,15,0,3,30,3,7,232,0,23,7,471,471,2,15,5,5,0,5,646,554,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,47,147,95,4,8,6,2,2,4,14,0,484,147,0,0,0,0,0,1.5,2,6,2,0,7,0,0,11,7,101,2,6,400,11,6,17,0,4,30,2,9,233,0,30,9,468,468,0,13,5,5,0,5,642,558,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
10.,49,147,96,1,5,5,3,4,3,10,0,486,147,0,0,0,0,0,3.5,0,4,3,0,5,0,0,11,5,103,1,7,400,11,3,14,0,5,30,4,14,234,0,29,14,476,476,0,16,5,5,0,5,642,558,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
11.,49,148,94,2,2,8,2,6,4,10,0,484,148,0,0,0,0,0,2,0,4,1,0,6,0,0,8,7,101,1,7,400,8,7,15,0,2,30,4,8,234,0,30,8,478,478,2,17,9,9,0,7,642,558,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
12.,49,147,96,1,6,7,2,1,1,13,0,486,147,0,0,0,0,0,1,1,7,2,0,6,0,0,10,9,99,1,7,400,10,8,18,0,1,30,4,8,237,0,32,8,480,480,1,15,10,10,0,8,642,558,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
13.,47,147,98,4,6,1,4,3,3,7,0,490,147,0,0,0,0,0,2.5,1,9,2,1,10,0,0,15,9,99,1,7,400,15,2,17,0,4,30,3,12,240,0,38,11,475,475,0,13,5,5,0,5,642,558,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
14.,49,147,97,0,6,3,4,3,3,9,0,488,147,0,0,0,0,0,2.5,1,6,1,0,10,0,0,12,9,99,0,8,400,12,4,16,1,5,30,2,6,241,0,31,6,485,485,0,10,4,4,0,4,636,564,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
15.,48,148,94,3,3,7,3,6,5,10,0,484,148,0,0,0,0,0,1.5,2,7,0.5,0,11,0,0,12,9,99,0,8,400,12,7,19,0,4,30,0,5,242,0,29,5,477,477,1,14,6,6,0,6,632,568,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
16.,48,146,96,3,6,5,4,5,3,11,0,484,146,0,0,0,0,0,3.5,1,4,2.5,0,7,0,0,12,9,99,1,7,400,12,2,14,0,7,30,0,11,242,0,29,10,482,482,1,13,1,1,0,1,633,567,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
17.,49,143,99,3,11,2,1,3,0,13,0,484,143,0,0,0,0,0,3.5,1,2,0.5,1,8,0,0,10,8,100,3,5,400,10,4,14,1,5,30,4,9,242,0,42,9,479,479,0,13,1,1,0,1,633,567,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
18.,48,144,98,5,10,4,0,2,0,14,0,484,144,0,0,0,0,0,1.5,1,3,1,0,5,0,0,7,11,97,1,7,400,7,5,12,0,8,30,4,9,240,0,36,9,486,486,0,14,1,1,0,1,629,571,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
19.,48,146,97,5,4,4,2,6,2,8,0,486,146,0,0,0,0,0,3,1,5,1,1,9,0,0,12,12,96,2,6,400,12,7,19,1,4,30,2,14,240,0,37,14,486,486,0,20,2,2,0,2,629,571,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
