"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,48,147,98,3,6,1,2,3,3,7,0,490,147,0,0,0,0,0,2.5,5,10,5,2,8,0,0,20,6,102,2,6,400,20,6,26,0,5,30,1,10,227,0,26,9,502,502,0,15,6,6,0,4,662,538,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,50,145,97,1,6,5,2,5,1,11,0,484,145,0,0,0,0,0,2.5,0,7,2.5,0,7,0,0,12,8,100,1,7,400,12,6,18,0,7,30,2,15,229,0,32,15,516,516,3,14,6,6,0,4,654,546,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,48,146,97,3,5,4,5,5,2,9,0,486,146,0,0,0,0,0,4,1,6,3.5,1,7,0,0,15,8,100,2,6,400,15,3,18,0,4,30,4,4,231,0,25,4,512,512,0,11,5,5,0,3,653,547,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,47,148,99,3,3,1,7,2,1,4,0,494,148,0,0,0,0,0,3.5,1,4,3,0,6,0,0,12,12,96,2,6,400,12,7,19,2,4,30,2,6,232,0,31,6,488,488,1,10,3,3,0,3,657,543,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,49,148,95,1,5,5,1,4,5,10,0,486,148,0,0,0,0,0,3,1,8,2.5,4,6,0,0,15,14,94,1,7,400,15,5,20,0,3,30,6,6,235,0,24,6,480,480,1,12,2,2,0,1,660,540,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,48,145,97,3,10,3,2,3,3,13,0,484,145,0,0,0,0,0,1,0,7,1,0,7,0,0,9,15,93,0,8,400,9,6,15,0,3,30,2,15,237,0,33,14,492,492,0,10,2,2,0,2,656,544,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,48,146,98,4,5,3,3,4,1,8,0,488,146,0,0,0,0,0,2.5,0,5,2.5,0,5,0,0,10,13,95,1,6,400,10,6,16,0,9,30,2,11,238,0,29,11,478,478,0,17,2,2,0,1,654,546,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,50,144,97,1,7,6,3,5,0,13,0,482,144,0,0,0,0,0,2.5,2,8,4.5,0,6,0,0,15,12,96,0,8,400,15,4,19,0,3,30,1,15,238,0,28,13,479,479,1,13,1,1,0,0,656,544,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,49,146,99,3,5,1,1,4,1,6,0,490,146,0,0,0,0,0,2.5,2,5,1,0,10,0,0,12,7,101,1,7,400,12,6,18,0,2,30,2,12,236,0,22,12,477,477,0,14,1,1,0,1,656,544,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
10.,50,146,99,2,4,2,0,4,0,6,0,490,146,0,0,0,0,0,2.5,2,5,2,0,8,0,0,12,10,98,2,6,400,12,4,16,0,2,30,3,10,235,0,24,9,495,495,1,12,2,2,0,2,652,548,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
11.,47,149,94,5,3,7,1,4,5,10,0,486,149,0,0,0,0,0,1.5,0,11,2,1,9,0,0,14,12,96,1,7,400,14,7,21,0,5,30,2,9,235,0,35,9,494,494,1,15,3,3,0,3,656,544,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
12.,48,147,98,3,2,3,6,5,1,5,0,490,147,0,0,0,0,0,2.5,0,8,1.5,1,9,0,0,13,12,96,1,7,400,13,8,21,0,4,30,1,7,236,0,30,7,507,507,0,12,1,1,0,1,655,545,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
13.,50,146,96,2,3,4,1,9,4,7,0,484,146,0,0,0,0,0,3.5,3,8,2,2,12,0,0,18,12,96,2,6,400,18,3,21,0,6,30,0,8,237,0,31,8,503,503,1,16,0,0,0,0,651,549,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
14.,48,146,96,2,9,6,3,1,2,15,0,484,146,0,0,0,0,0,1.5,2,7,2,1,7,0,0,12,14,94,1,7,400,12,8,20,0,3,30,1,10,237,0,28,10,491,491,1,10,1,1,0,1,651,549,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
