"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,49,146,98,3,5,3,1,4,1,8,0,488,146,0,0,0,0,0,3,1,7,2.5,1,8,0,0,14,5,103,2,6,400,14,3,17,0,3,30,2,15,225,0,19,14,528,528,0,15,3,3,0,2,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
2.,47,148,96,4,6,5,2,1,3,11,0,488,148,0,0,0,0,0,2,1,6,2.5,1,5,0,0,11,7,101,1,7,400,11,5,16,0,4,30,5,7,226,0,33,7,518,518,1,13,7,7,0,7,672,528,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
3.,49,145,98,0,11,1,3,2,3,12,0,486,145,0,0,0,0,0,5,2,5,3,2,9,0,0,17,6,102,0,8,400,17,5,22,0,4,30,1,7,225,0,32,7,493,493,1,13,5,5,0,4,668,532,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
4.,48,146,96,4,8,7,0,1,1,15,0,484,146,0,0,0,0,0,2,2,10,5,0,6,0,0,16,10,98,2,6,400,16,4,20,1,6,30,4,7,226,0,30,7,494,494,0,16,5,5,0,5,667,533,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
5.,48,147,97,2,6,3,4,3,3,9,0,488,147,0,0,0,0,0,3,1,4,2.5,1,5,0,0,11,13,95,1,7,400,11,9,20,1,5,30,3,12,228,0,25,11,485,485,0,13,4,4,0,3,667,533,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
6.,49,147,93,1,4,12,4,4,2,16,0,480,147,0,0,0,0,0,4,1,3,3.5,0,5,0,0,12,12,96,0,8,400,12,4,16,0,4,30,1,10,227,0,31,10,483,483,1,14,5,5,0,4,667,533,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
7.,48,149,98,1,3,2,5,1,2,5,0,494,149,0,0,0,0,0,4,1,7,3.5,0,9,0,0,16,13,95,2,6,400,16,6,22,0,4,30,1,8,226,0,18,8,490,490,0,19,5,5,0,3,664,536,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
8.,49,146,97,2,5,4,3,5,2,9,0,486,146,0,0,0,0,0,5,3,5,4,0,10,0,0,18,12,96,3,5,400,18,2,20,0,2,30,0,4,225,0,30,4,472,472,0,22,2,2,0,2,662,538,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
9.,49,143,98,3,8,4,4,6,0,12,0,482,143,0,0,0,0,0,2.5,1,3,1.5,1,5,0,0,9,12,96,1,7,400,9,4,13,0,3,30,2,6,227,0,27,6,465,465,4,12,4,4,0,2,661,539,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
10.,50,146,95,1,4,7,2,7,3,11,0,482,146,0,0,0,0,0,3,2,9,3,2,9,0,0,17,13,95,3,5,400,17,3,20,0,10,30,2,12,227,0,31,12,490,490,1,17,5,5,0,5,665,535,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
11.,48,145,95,4,8,8,2,4,2,16,0,480,145,0,0,0,0,0,3,3,9,4.5,2,7,0,0,18,12,96,0,8,400,18,8,26,0,2,30,2,9,227,0,26,9,483,483,0,13,4,4,0,3,665,535,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
12.,49,144,97,1,9,4,5,5,2,13,0,482,144,0,0,0,0,0,3,2,7,6,0,3,0,0,15,10,98,1,7,400,15,4,19,1,2,30,1,10,228,0,25,10,489,489,0,10,4,4,0,3,665,535,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
13.,49,145,98,2,6,3,4,5,1,9,0,486,145,0,0,0,0,0,2.5,0,6,3,3,2,0,0,11,11,97,1,7,400,11,6,17,2,4,30,2,7,227,0,30,7,482,482,1,15,3,3,0,2,664,536,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
14.,48,144,98,3,7,4,7,5,0,11,0,484,144,0,0,0,0,0,3.5,1,9,4.5,2,6,0,0,17,12,96,2,6,400,17,6,23,0,3,30,2,11,230,0,34,11,481,481,0,15,4,4,0,4,660,540,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
15.,50,143,98,1,8,4,4,6,0,12,0,482,143,0,0,0,0,0,1.5,3,9,3,2,7,0,0,15,14,94,3,5,400,15,3,18,0,1,30,2,12,230,0,27,12,494,494,0,14,4,4,0,4,660,540,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
16.,50,145,96,1,6,6,2,6,2,12,0,482,145,0,0,0,0,0,1,2,10,1.5,4,7,0,0,14,12,96,0,8,400,14,5,19,0,4,30,5,9,231,0,26,9,490,490,1,14,7,7,0,6,665,535,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
17.,48,147,97,2,6,3,4,3,3,9,0,488,147,0,0,0,0,0,4,1,3,1.5,3,6,0,0,12,14,94,2,6,400,12,2,14,0,5,30,4,7,232,0,24,7,496,496,1,12,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
18.,48,149,94,2,3,6,3,5,6,9,0,486,149,0,0,0,0,0,3.5,1,8,2.5,3,8,0,0,16,15,93,2,6,400,16,5,21,0,4,30,3,10,232,0,22,10,498,498,1,12,5,5,0,4,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
19.,48,150,97,2,2,3,2,1,3,5,0,494,150,0,0,0,0,0,4.5,2,9,2.5,2,13,0,0,20,15,93,3,5,400,20,6,26,1,3,30,3,11,231,0,28,11,514,514,1,12,3,3,0,3,665,535,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
20.,47,146,94,5,8,8,2,4,4,16,0,480,146,0,0,0,0,0,2,0,6,1.5,0,7,0,0,10,15,93,2,6,400,10,5,15,0,5,30,1,6,234,0,24,6,520,520,1,12,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
21.,49,147,98,3,3,4,1,3,0,7,0,490,147,0,0,0,0,0,3.5,3,7,3.5,2,8,0,0,17,16,92,0,8,400,17,9,26,0,13,30,2,13,236,0,19,13,517,517,1,13,5,5,0,3,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
22.,48,146,98,2,5,3,7,4,1,8,0,488,146,0,0,0,0,0,6,0,4,5,1,5,0,0,16,16,92,0,8,400,16,7,23,0,8,30,4,12,236,0,24,11,522,522,1,9,5,5,0,2,658,542,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
23.,49,146,97,1,7,5,3,2,1,12,0,486,146,0,0,0,0,0,2.5,0,6,2.5,2,4,0,0,11,17,91,1,7,400,11,3,14,0,5,30,2,8,235,0,30,8,509,509,1,15,2,2,0,2,651,549,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
24.,48,146,96,4,6,6,2,4,2,12,0,484,146,0,0,0,0,0,2,3,10,4,1,8,0,0,17,17,91,0,8,400,17,9,26,1,3,30,1,11,237,0,24,11,501,501,1,11,2,2,0,2,655,545,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
25.,49,145,97,3,6,5,2,5,1,11,0,484,145,0,0,0,0,0,4.5,0,5,2.5,1,8,0,0,14,19,89,2,6,400,14,6,20,0,3,30,2,8,237,0,33,8,510,510,0,17,1,1,0,1,651,549,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
26.,50,144,99,2,5,2,3,7,0,7,0,486,144,0,0,0,0,0,3,1,3,3,1,3,0,0,10,23,85,0,8,400,10,6,16,0,3,30,1,16,238,0,23,15,513,513,0,14,4,4,0,1,655,545,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
27.,49,146,96,2,5,6,3,5,2,11,0,484,146,0,0,0,0,0,2.5,1,9,3,1,8,0,0,15,21,87,1,7,400,15,7,22,0,1,30,1,9,239,0,30,9,512,512,0,13,5,5,0,4,655,545,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
28.,48,146,96,2,5,6,7,5,2,11,0,484,146,0,0,0,0,0,2.5,1,4,1,2,6,0,0,10,21,87,4,4,400,10,7,17,0,9,30,0,6,240,0,28,6,506,506,1,18,3,3,0,2,651,549,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
29.,49,150,97,0,2,4,2,0,2,6,0,494,150,0,0,0,0,0,3.5,2,7,2.5,2,9,0,0,16,22,86,0,8,400,16,5,21,0,1,30,4,10,239,0,30,10,493,493,1,16,4,4,0,3,643,557,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
30.,49,144,96,3,7,6,3,7,2,13,0,480,144,0,0,0,0,0,2.5,3,6,3.5,1,6,0,0,14,23,85,3,5,400,14,10,24,0,5,30,3,7,240,0,27,7,507,507,0,15,4,4,0,4,651,549,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
31.,50,144,98,1,8,2,2,6,2,10,0,484,144,0,0,0,0,0,4.5,1,3,2.5,1,7,0,0,13,18,90,1,7,400,13,7,20,0,3,30,2,15,242,0,26,15,499,499,1,8,4,4,0,3,648,552,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
32.,49,146,98,2,6,2,2,4,2,8,0,488,146,0,0,0,0,0,3,3,10,5,2,7,0,0,19,18,90,2,6,400,19,5,24,0,3,30,2,11,244,0,28,11,489,489,0,10,4,4,0,3,644,556,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
