# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_2.out' -seed 1033227901
# "uuid" : "667674758"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,50,145,99,2,4,2,2,6,0,6,0,488,145,0,0,0,0,0,3,1,3,1.5,1,6,0,0,10,8,100,2,6,400,10,6,16,1,1,30,4,11,221,0,31,11,497,497,1,15,6,6,0,4,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
2.,49,147,96,2,3,4,3,7,4,7,0,486,147,0,0,0,0,0,3,2,8,3,3,7,0,0,16,11,97,1,7,400,16,6,22,0,8,30,0,5,217,0,21,5,491,491,1,17,3,3,0,3,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
3.,48,148,96,1,5,6,5,1,2,11,0,488,148,0,0,0,0,0,3,1,6,3,1,6,0,0,13,12,96,2,6,400,13,8,21,1,4,30,2,12,214,0,17,12,493,493,1,13,4,4,0,3,670,530,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
4.,48,146,97,2,6,5,6,3,1,11,0,486,146,0,0,0,0,0,3.5,0,5,4.5,0,3,0,0,12,12,96,1,7,400,12,8,20,0,2,30,2,10,211,0,21,9,486,486,0,21,6,6,0,6,673,527,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
5.,50,143,97,1,11,5,1,4,1,16,0,480,143,0,0,0,0,0,1,3,7,3.5,1,4,0,0,12,11,97,2,6,400,12,4,16,0,2,30,3,10,207,0,15,10,486,486,1,13,5,5,0,5,677,523,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
6.,49,146,99,3,4,1,2,5,1,5,0,490,146,0,0,0,0,0,2.5,5,7,4.5,3,5,0,0,17,12,96,2,6,400,17,8,25,0,4,30,3,13,207,0,27,12,501,501,1,14,5,5,0,5,677,523,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
7.,49,147,95,2,3,8,3,5,2,11,0,484,147,0,0,0,0,0,2.5,2,7,3.5,0,7,0,0,14,14,94,0,8,400,14,5,19,0,5,30,2,11,204,0,21,11,507,507,1,16,3,3,0,2,677,523,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
8.,50,144,98,1,5,3,5,8,1,8,0,484,144,0,0,0,0,0,2,0,7,1.5,2,6,0,0,11,18,90,2,6,400,11,10,21,0,7,30,2,12,201,0,16,12,531,531,1,13,4,4,0,3,677,523,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
9.,48,144,97,4,7,5,5,6,1,12,0,482,144,0,0,0,0,0,1.5,2,11,4,3,5,0,0,16,18,90,2,6,400,16,6,22,0,3,30,3,12,195,0,21,12,532,532,0,16,4,4,0,4,669,531,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
10.,49,147,100,2,4,0,2,2,0,4,0,494,147,0,0,0,0,0,2.5,0,11,4,0,8,0,0,16,19,89,0,8,400,16,2,18,0,4,30,2,5,191,0,18,4,506,506,1,20,4,4,0,3,671,529,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
11.,47,150,96,2,2,3,6,3,5,5,0,492,150,0,0,0,0,0,1.5,0,10,2.5,2,6,0,0,13,19,89,5,3,400,13,6,19,0,8,30,3,6,191,0,16,6,506,506,1,17,2,2,0,2,655,545,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
