# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_LFS16.ka' '-l' '5000' '-p' '1' '-o' 'LFS16_2.out' -seed 10713542
# "uuid" : "106427034"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,62,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,50,144,98,1,7,4,3,5,0,11,0,484,144,0,0,0,0,0,3,2,9,6,2,3,0,0,17,9,99,1,7,400,17,3,20,1,5,30,2,7,226,0,22,7,510,510,1,11,5,5,0,3,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,49,143,97,2,9,6,5,5,0,15,0,480,143,0,0,0,0,0,3,1,11,4.5,1,8,0,0,18,10,98,2,6,400,18,6,24,0,8,30,4,7,220,0,27,7,509,509,0,15,3,3,0,2,659,541,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,48,146,97,4,3,5,5,6,1,8,0,486,146,0,0,0,0,0,3.5,3,5,4.5,1,5,0,0,15,15,93,2,6,400,15,4,19,0,8,30,1,14,216,0,22,14,527,527,2,19,3,3,0,2,655,545,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,48,146,97,2,6,5,6,3,1,11,0,486,146,0,0,0,0,0,1.5,2,6,1.5,1,7,0,0,11,16,92,1,6,400,11,3,14,0,5,30,4,10,213,0,22,9,531,531,1,17,0,0,0,0,650,550,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,48,146,99,1,6,1,8,3,1,7,0,490,146,0,0,0,0,0,3.5,1,8,3,2,8,0,0,16,14,94,1,7,400,16,6,22,0,1,30,0,16,212,0,23,16,556,556,2,16,3,3,0,2,650,550,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,50,144,96,1,9,7,1,4,1,16,0,480,144,0,0,0,0,0,4.5,2,3,3,1,7,0,0,14,12,96,0,8,400,14,4,18,0,3,30,4,14,216,0,27,12,588,588,0,14,4,4,0,4,646,554,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,50,145,97,0,6,4,4,6,2,10,0,484,145,0,0,0,0,0,3.5,1,8,1,1,13,0,0,16,13,95,1,7,400,16,4,20,0,5,30,6,20,217,0,21,20,603,603,0,12,3,3,0,3,648,552,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,49,145,97,2,8,5,2,3,1,13,0,484,145,0,0,0,0,0,4.5,3,6,1.5,3,12,0,0,18,13,95,2,6,400,18,4,22,0,9,30,4,15,214,0,21,15,611,611,0,14,3,3,0,3,650,550,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,48,147,96,3,5,4,3,5,4,9,0,486,147,0,0,0,0,0,2.5,2,7,3,0,8,0,0,14,11,97,2,6,400,14,3,17,1,9,30,3,12,214,0,22,12,630,630,1,9,5,5,0,3,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
10.,49,147,97,1,4,2,4,6,4,6,0,488,147,0,0,0,0,0,4.5,1,6,3.5,0,9,0,0,16,12,96,1,7,400,16,3,19,1,6,30,1,13,211,0,18,12,641,641,0,10,3,3,0,2,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
11.,50,147,95,0,5,7,1,4,3,12,0,484,147,0,0,0,0,0,3.5,0,8,4.5,0,6,0,0,15,9,99,1,7,400,15,3,18,0,8,30,2,17,208,0,23,17,648,648,0,17,5,5,0,3,654,546,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
12.,47,149,94,3,5,7,3,2,5,12,0,486,149,0,0,0,0,0,3,2,9,1,1,14,0,0,17,8,100,2,6,400,17,6,23,1,5,30,3,15,210,0,21,15,657,657,0,13,5,5,0,4,655,545,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
13.,49,147,94,0,7,6,3,5,6,13,0,482,147,0,0,0,0,0,5,1,8,2,1,14,0,0,19,8,100,0,8,400,19,6,25,0,6,30,6,16,205,0,22,16,665,665,0,11,5,5,0,5,650,550,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
14.,47,149,95,1,5,6,7,1,4,11,0,488,149,0,0,0,0,0,4.5,3,3,2.5,0,10,0,0,15,8,100,2,6,400,15,2,17,1,4,30,2,15,202,0,13,15,681,681,1,13,6,6,0,5,649,551,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
15.,47,150,95,3,3,6,3,1,4,9,0,490,150,0,0,0,0,0,3,2,9,1.5,1,13,0,0,17,9,99,3,5,400,17,5,22,0,4,30,6,23,202,0,24,22,694,694,0,14,5,5,0,4,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
16.,48,145,96,2,8,6,6,4,2,14,0,482,145,0,0,0,0,0,2,1,8,2.5,0,8,0,0,13,9,99,3,5,400,13,5,18,0,3,30,5,18,202,0,22,16,704,704,0,13,7,7,0,6,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
17.,47,147,95,5,7,6,1,3,4,13,0,484,147,0,0,0,0,0,3.5,3,2,2,0,8,0,0,12,10,98,1,7,400,12,4,16,0,3,30,4,16,203,0,27,16,699,699,0,12,5,5,0,5,649,551,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
18.,48,148,96,2,3,3,5,6,5,6,0,488,148,0,0,0,0,0,4,1,6,2.5,2,8,0,0,15,10,98,1,7,400,15,3,18,0,6,30,8,9,198,0,26,9,703,703,2,19,5,5,0,4,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
19.,48,147,95,0,11,5,3,0,5,16,0,484,147,0,0,0,0,0,3.5,1,4,3,0,6,0,0,12,11,97,2,6,400,12,11,23,0,5,30,5,13,195,0,15,12,690,690,1,12,9,9,0,7,653,547,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
20.,48,149,97,2,3,1,3,4,5,4,0,492,149,0,0,0,0,0,4.5,4,4,2.5,0,12,0,0,17,16,92,2,6,400,17,8,25,0,4,30,2,14,192,0,17,14,689,689,3,19,6,6,0,5,653,547,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
21.,49,148,97,2,3,4,1,3,2,7,0,490,148,0,0,0,0,0,4.5,1,2,1.5,0,9,0,0,12,14,94,2,6,400,12,5,17,0,5,30,3,11,190,0,19,11,685,685,3,18,5,5,0,3,654,546,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
22.,48,146,95,1,5,8,9,5,2,13,0,482,146,0,0,0,0,0,1.5,2,5,3.5,0,3,0,0,10,17,91,2,6,400,10,7,17,0,7,30,11,14,195,0,18,14,697,697,1,10,4,4,0,4,654,546,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
23.,48,146,96,2,7,7,5,2,1,14,0,484,146,0,0,0,0,0,1.5,2,6,3,0,5,0,0,11,16,92,1,7,400,11,5,16,0,3,30,6,18,194,0,16,16,710,710,0,13,9,9,0,7,655,545,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
24.,49,147,98,1,4,3,4,3,1,7,0,490,147,0,0,0,0,0,3,1,6,1,2,9,0,0,13,14,94,0,8,400,13,6,19,0,2,30,4,19,193,0,20,19,712,712,2,17,11,11,0,9,653,547,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
25.,50,145,99,1,7,2,1,3,0,9,0,488,145,0,0,0,0,0,2,1,8,1.5,1,9,0,0,13,14,94,2,6,400,13,2,15,0,3,30,2,14,193,0,21,13,702,702,0,21,9,9,0,7,656,544,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
26.,46,145,95,7,7,8,5,5,2,15,0,480,145,0,0,0,0,0,2.5,2,4,2,0,7,0,0,11,16,92,1,7,400,11,2,13,0,1,30,6,11,191,0,22,11,675,675,2,13,9,9,0,7,657,543,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,25,25,0,1,1,1,1
