# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Theta16.ka' '-l' '5000' '-p' '1' '-o' 'Theta16_1.out' -seed 114231022
# "uuid" : "889241218"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,0,1,1,1,1
1.,49,147,97,1,4,3,4,5,3,7,0,488,147,0,0,0,0,0,2,2,4,2,0,6,0,0,10,6,102,2,6,400,10,4,14,0,7,30,0,9,221,0,20,9,517,517,0,16,4,4,0,3,662,538,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
2.,47,145,96,3,12,5,4,1,3,17,0,482,145,0,0,0,0,0,3.5,2,5,4.5,0,5,0,0,14,8,100,2,6,400,14,7,21,0,6,30,0,9,216,0,24,9,527,527,0,13,5,5,0,5,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
3.,48,147,97,3,4,5,4,3,1,9,0,488,147,0,0,0,0,0,3,0,6,2,2,6,0,0,12,9,99,3,5,400,12,3,15,1,5,30,2,8,206,0,24,7,519,519,1,17,6,6,0,4,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
4.,48,149,97,3,1,4,3,3,2,5,0,492,149,0,0,0,0,0,2,0,6,1.5,2,5,0,0,10,8,100,0,8,400,10,5,15,0,6,30,3,9,202,0,25,9,508,508,0,17,3,3,0,3,658,542,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,1,1,1
5.,49,147,95,1,5,8,3,3,2,13,0,484,147,0,0,0,0,0,3.5,0,12,3,3,10,0,0,19,9,99,3,5,400,19,7,26,0,7,30,7,13,199,0,26,13,498,498,0,18,4,4,0,3,658,542,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
6.,49,147,99,0,6,2,4,0,0,8,0,492,147,0,0,0,0,0,4,1,6,5.5,0,4,0,0,15,9,99,0,8,400,15,6,21,0,8,30,4,4,197,0,24,4,500,500,2,13,5,5,0,4,662,538,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
7.,49,146,97,2,6,6,2,2,0,12,0,486,146,0,0,0,0,0,2,0,6,1,2,6,0,0,10,10,98,3,5,400,10,9,19,0,4,30,5,12,194,0,29,12,509,509,0,15,3,3,0,3,662,538,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
8.,49,146,98,1,9,2,1,1,2,11,0,488,146,0,0,0,0,0,1,2,8,1.5,1,8,0,0,12,12,96,3,5,400,12,5,17,0,1,30,3,12,189,0,27,12,515,515,0,13,2,2,0,2,658,542,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
9.,45,149,95,7,2,5,6,5,5,7,0,488,149,0,0,0,0,0,1.5,0,10,2,2,7,0,0,13,14,94,2,6,400,13,5,18,0,5,30,3,7,183,0,24,7,501,501,1,18,4,4,0,4,654,546,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,1,1,1
