# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_cTheta16.ka' '-l' '5000' '-p' '1' '-o' 'cTheta16_2.out' -seed 239617986
# "uuid" : "749544386"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,5.5,3,1,2.5,1,9,0,0,15,6,102,2,6,400,15,5,20,0,3,30,3,11,222,0,20,10,500,500,0,9,4,4,0,4,658,542,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,49,148,97,1,4,4,2,2,2,8,0,490,148,0,0,0,0,0,3.5,2,3,2,1,7,0,0,12,5,103,0,8,400,12,5,17,1,3,30,1,7,219,0,22,6,496,496,1,14,3,3,0,3,650,550,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,47,147,97,3,8,2,4,2,4,10,0,488,147,0,0,0,0,0,2,5,1,1.5,0,7,0,0,10,5,103,2,6,400,10,3,13,0,5,30,2,8,215,0,22,8,495,495,0,13,2,2,0,2,643,557,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,49,145,95,2,7,9,3,4,1,16,0,480,145,0,0,0,0,0,5,2,3,3,2,7,0,0,15,6,102,0,8,400,15,4,19,0,3,30,3,6,215,0,23,5,475,475,1,11,1,1,0,1,643,557,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,49,147,95,0,5,7,5,4,3,12,0,484,147,0,0,0,0,0,2,3,6,2.5,1,7,0,0,13,5,103,1,7,400,13,3,16,0,3,30,3,9,213,0,26,9,466,466,0,14,3,3,0,3,643,557,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,48,148,97,2,4,5,4,1,1,9,0,490,148,0,0,0,0,0,3.5,1,8,3,2,8,0,0,16,5,103,2,6,400,16,4,20,0,6,30,2,9,213,0,21,9,478,478,1,15,6,6,0,5,643,557,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,50,146,97,1,2,5,4,7,1,7,0,486,146,0,0,0,0,0,4,2,5,4.5,2,4,0,0,15,5,103,0,8,400,15,5,20,0,6,30,1,7,213,0,28,7,497,497,0,15,5,5,0,3,642,558,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,49,146,94,2,4,9,4,7,3,13,0,480,146,0,0,0,0,0,5,0,5,4.5,2,4,0,0,15,8,100,1,7,400,15,4,19,0,8,30,0,8,210,0,20,8,487,487,0,10,2,2,0,1,652,548,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,49,149,95,0,3,7,3,2,3,10,0,488,149,0,0,0,0,0,3.5,2,8,4.5,2,6,0,0,17,9,99,3,5,400,17,6,23,0,3,30,2,10,207,0,28,10,490,490,2,14,2,2,0,2,644,556,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
