# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_4.out' -seed 958052470
# "uuid" : "552750566"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,49,147,97,3,3,3,1,6,3,6,0,488,147,0,0,0,0,0,2.5,3,5,2.5,1,7,0,0,13,11,97,1,7,400,13,5,18,0,2,30,1,9,222,0,20,9,524,524,0,17,4,4,0,3,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,49,147,95,2,5,7,1,4,3,12,0,484,147,0,0,0,0,0,5,4,6,5.5,2,7,0,0,20,10,98,1,7,400,20,7,27,1,6,30,3,12,226,0,21,12,535,535,2,7,4,4,0,3,674,526,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,49,143,100,1,11,0,5,3,0,11,0,486,143,0,0,0,0,0,3.5,2,3,2.5,2,5,0,0,12,11,97,1,7,400,12,4,16,0,9,30,5,7,223,0,23,7,535,535,1,15,8,8,0,7,674,526,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,48,147,98,5,4,3,0,3,1,7,0,490,147,0,0,0,0,0,2.5,1,6,1.5,1,8,0,0,12,14,94,2,6,400,12,10,22,0,3,30,4,6,221,0,20,6,521,521,1,15,5,5,0,4,675,525,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,50,148,96,0,2,7,2,3,1,9,0,488,148,0,0,0,0,0,2.5,2,2,1.5,1,5,0,0,9,14,94,3,5,400,9,7,16,0,3,30,5,10,215,0,28,9,506,506,1,18,4,4,0,4,675,525,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,49,145,96,2,7,6,3,5,2,13,0,482,145,0,0,0,0,0,3.5,0,5,1.5,3,6,0,0,12,13,95,2,6,400,12,5,17,0,3,30,5,12,209,0,26,12,513,513,0,17,5,5,0,5,675,525,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,50,145,98,3,4,2,0,8,2,6,0,486,145,0,0,0,0,0,1,3,12,4.5,2,6,0,0,17,11,97,3,5,400,17,6,23,0,5,30,4,7,208,0,17,7,518,518,1,12,5,5,0,4,674,526,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,50,145,98,1,5,3,3,6,1,8,0,486,145,0,0,0,0,0,2.5,0,9,3.5,2,5,0.5,0,13,15,93,3,5,400,14,2,16,0,2,30,2,7,205,0,20,7,509,509,1,16,2,2,0,2,673,527,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,49,147,97,1,4,4,4,4,2,8,0,488,147,0,0,0,0,0,2,2,9,1.5,1,11,0,0,15,13,95,3,5,400,15,7,22,0,11,30,2,10,205,0,15,9,502,502,0,17,2,2,0,1,669,531,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
