# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_weakLTP16.ka' '-l' '5000' '-p' '1' '-o' 'weakLTP16_2.out' -seed 311421603
# "uuid" : "33098982"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,145,98,4,6,4,4,4,0,10,0,486,145,0,0,0,0,0,3,2,9,3.5,3,7,0,0,17,7,101,2,6,400,17,5,22,0,2,30,2,6,226,0,20,6,520,520,0,14,3,3,0,2,666,534,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,48,146,98,4,6,3,2,3,1,9,0,488,146,0,0,0,0,0,3,3,3,1,4,6,0,0,12,6,102,2,6,400,12,3,15,0,7,30,4,6,221,0,24,6,525,525,0,15,3,3,0,3,671,529,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
2.,50,147,96,0,2,6,4,6,2,8,0,486,147,0,0,0,0,0,3.5,0,7,1.5,3,8,0,0,14,11,97,2,6,400,14,3,17,0,6,30,1,5,218,0,19,5,519,519,0,18,4,4,0,3,670,530,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
3.,49,145,97,2,7,3,3,6,3,10,0,484,145,0,0,0,0,0,3.5,2,6,2.5,1,9,0,0,15,9,99,2,6,400,15,3,18,0,8,30,3,7,213,0,21,7,495,495,1,14,2,2,0,2,672,528,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
4.,49,143,98,1,13,1,3,4,3,14,0,482,143,0,0,0,0,0,5.5,2,5,3.5,2,9,0,0,18,10,98,1,7,400,18,6,24,1,2,30,3,10,206,0,26,10,480,480,2,18,5,5,0,3,676,524,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
5.,49,146,98,2,7,1,1,4,3,8,0,488,146,0,0,0,0,0,2,2,6,2.5,2,5,0,0,12,10,98,2,6,400,12,9,21,2,2,30,0,5,205,0,19,5,492,492,1,14,4,4,0,3,676,524,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
6.,49,147,97,2,1,5,5,6,1,6,0,488,147,0,0,0,0,0,5,2,6,5,3,5,0.5,0,17,11,97,1,7,400,18,8,26,0,1,30,1,8,202,0,23,8,499,499,1,17,2,2,0,1,688,512,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
7.,50,144,99,1,8,2,2,4,0,10,0,486,144,0,0,0,0,0,4,1,8,4.5,2,6,0.5,0,16,11,97,2,6,400,17,5,22,0,3,30,3,12,197,0,21,11,499,499,1,12,1,1,0,1,692,508,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
8.,49,145,96,4,5,6,1,7,2,11,0,482,145,0,0,0,0,0,3.5,2,6,4,2,5,0,0,15,10,98,1,7,400,15,6,21,0,3,30,1,7,195,0,21,7,496,496,0,14,3,3,0,3,692,508,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
9.,50,148,98,0,3,2,1,3,2,5,0,492,148,0,0,0,0,0,4,1,5,3,1,7,0.5,0,13,11,97,2,6,400,14,6,20,0,1,30,2,13,189,0,25,13,493,493,0,16,3,3,0,3,688,512,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,25,25,25,0,1,2,1,2
