T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1,49,145,97,2,8,4,2,4,2,12,0,484,145,0,0,0,0,0,0.5,3,0,1,1,1,0,0,4,17,91,2,10,1,4,7,11,0,4,30,1,11,884,6,13,10,471,471,0,17,4,4,0,4,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
2,50,146,98,1,3,3,3,6,1,6,0,488,146,0,0,0,0,0,2,3,0,1.5,4,0,0,0,7,19,89,2,10,2,7,9,16,0,5,30,1,12,890,6,12,12,484,484,0,10,2,2,0,2,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
3,47,145,97,4,9,4,5,3,2,13,0,484,145,0,0,0,0,0,1.5,4,0,0.5,4,2,0,0,7,20,88,2,10,2,7,9,16,0,6,30,1,14,892,6,7,14,475,475,3,13,4,4,0,4,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
4,49,146,95,2,5,8,3,5,2,13,0,482,146,0,0,0,0,0,1.5,3,1,1,4,1,0,0,7,18,90,1,11,2,7,7,14,0,5,30,1,9,895,7,6,9,477,477,0,18,2,2,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
5,46,150,96,4,2,5,6,1,3,7,0,492,150,0,0,0,0,0,1.5,1,1,1,3,0,0,0,5,19,89,3,9,0,5,6,11,1,4,30,2,13,904,7,5,13,466,466,2,10,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
6,49,147,96,0,6,4,4,4,4,10,0,486,147,0,0,0,0,0,1,3,1,1.5,3,0,0,0,6,19,89,2,10,2,6,7,13,0,6,30,0,7,906,7,6,7,461,461,1,17,3,3,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
7,48,146,96,2,5,4,7,7,4,9,0,484,146,0,0,0,0,0,1,7,0,2,4,1,0,0,9,16,92,3,9,1,9,2,11,0,1,30,1,11,911,7,12,10,477,477,0,12,3,3,0,2,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
8,48,144,99,5,8,2,2,4,0,10,0,486,144,0,0,0,0,0,2.5,3,0,1.5,5,0,0,0,8,17,91,2,10,0,8,7,15,0,8,30,0,12,914,7,10,12,472,472,0,12,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
9,50,147,98,1,3,3,1,4,1,6,0,490,147,0,0,0,0,0,0,5,0,1,3,0,0,0,5,18,90,3,9,1,5,5,10,0,2,30,1,9,917,7,4,9,479,479,2,12,2,2,0,2,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
10,49,144,94,2,7,12,5,5,0,19,0,476,144,0,0,0,0,0,1,1,0,0,2,1,0,0,3,19,89,1,11,2,3,7,10,1,3,30,1,11,924,8,9,11,490,490,0,9,0,0,0,0,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
11,49,146,98,3,4,2,2,6,2,6,0,488,146,0,0,0,0,0,1.5,6,0,2.5,4,0,0,0,9,18,90,2,9,0,9,4,13,1,6,30,3,8,928,8,15,8,489,489,0,8,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
12,49,147,98,2,4,4,2,2,0,8,0,490,147,0,0,0,0,0,1.5,3,0,1,4,0,0,0,6,24,84,1,11,0,6,8,14,1,1,30,2,9,928,8,3,9,490,490,0,15,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
13,48,147,97,4,5,6,1,1,0,11,0,488,147,0,0,0,0,0,0.5,6,0,1.5,3,1,0,0,7,28,80,2,9,0,7,12,19,0,6,30,3,14,931,8,3,14,478,478,0,6,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
14,47,147,97,4,6,4,4,2,2,10,0,488,147,0,0,0,0,0,1.5,5,0,1.5,4,1,0,0,8,24,84,3,9,0,8,8,16,0,3,30,2,8,933,7,5,8,456,456,0,12,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
15,48,146,98,3,6,3,4,3,1,9,0,488,146,0,0,0,0,0,1.5,4,0,2,3,0,0,0,7,21,87,2,10,0,7,11,18,3,4,30,2,11,943,9,5,11,465,465,0,18,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
16,48,145,98,4,8,2,2,4,2,10,0,486,145,0,0,0,0,0,0.5,6,1,1.5,3,2,0,0,8,21,87,3,9,0,8,8,16,0,7,30,2,9,941,9,7,9,461,461,0,14,2,2,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
17,49,148,97,2,1,3,3,6,3,4,0,490,148,0,0,0,0,0,1.5,2,0,1,2,1,0,0,5,20,88,2,10,0,5,9,14,0,5,30,0,5,941,9,3,5,457,457,1,18,2,2,0,1,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
18,48,147,98,2,5,2,5,3,2,7,0,490,147,0,0,0,0,0,0,1,1,1,0,0,0,0,2,18,90,3,9,0,2,9,11,0,6,30,2,7,946,10,9,7,464,464,2,15,1,1,0,1,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
19,49,144,97,3,7,2,3,9,4,9,0,482,144,0,0,0,0,0,1,5,1,0.5,3,4,0,0,8,20,88,2,10,0,8,11,19,0,4,30,1,8,949,9,8,8,458,458,1,11,2,2,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
