T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1,49,146,97,1,8,2,2,4,4,10,0,486,146,0,0,0,0,0,0,5,0,1.5,1,1,0,0,5,17,91,2,10,1,5,12,17,25,128,30,12,725,1238,16,6,723,1558,1558,0,16,38,38,0,32,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2,50,147,98,0,3,3,3,4,1,6,0,490,147,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,16,92,5,13,0,4,12,16,29,107,30,11,776,1437,22,14,775,1569,1569,0,11,40,40,0,37,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3,49,146,99,4,3,2,1,5,0,5,0,490,146,0,0,0,0,0,1,4,1,2.5,1,1,0,0,7,20,88,5,14,4,7,10,17,29,183,30,18,787,1558,26,12,787,1575,1575,0,15,39,39,0,33,545,655,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4,50,144,96,1,6,6,4,8,2,12,0,480,144,0,0,0,0,0,0.5,2,0,0,1,2,0,0,3,30,78,10,15,0,3,11,14,30,174,30,17,755,1677,28,1,755,1577,1577,1,13,40,40,0,34,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5,49,144,98,2,7,4,5,5,0,11,0,484,144,0,0,0,0,0,0,4,1,2,1,0,0,0,5,34,74,11,13,2,5,8,13,3,20,30,21,140,1724,31,9,139,1486,1486,0,13,35,35,0,31,547,653,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
6,50,144,98,3,6,4,0,6,0,10,0,484,144,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0,2,33,75,15,13,2,2,11,13,3,6,30,23,60,1735,31,5,60,1369,1369,0,17,28,28,0,22,547,653,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
7,48,148,97,4,2,4,2,4,2,6,0,490,148,0,0,0,0,0,1.5,2,0,1.5,2,0,0,0,5,42,66,21,15,0,5,7,12,1,2,30,14,40,1744,31,3,40,1269,1269,1,14,17,17,0,14,550,650,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
8,48,147,98,2,4,3,6,3,1,7,0,490,147,0,0,0,0,0,0.5,3,0,0.5,3,0,0,0,4,45,63,24,14,0,4,7,11,0,7,30,9,29,1754,31,3,28,1195,1195,2,10,18,18,0,16,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
9,48,143,97,5,10,5,2,5,1,15,0,480,143,0,0,0,0,0,0,7,0,1,4,1,0,0,7,50,58,14,15,0,7,4,11,0,7,30,19,22,1761,32,0,22,1093,1093,2,8,12,12,0,7,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
10,49,145,96,2,8,6,2,4,2,14,0,482,145,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,46,62,15,15,0,4,5,9,1,8,30,11,18,1770,34,8,18,1012,1012,1,11,10,10,0,10,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
11,48,147,97,3,5,4,3,3,2,9,0,488,147,0,0,0,0,0,0.5,4,0,1.5,2,0,0,0,5,47,61,17,15,1,5,8,13,0,4,30,10,12,1776,34,1,12,943,943,1,17,12,12,0,10,549,651,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
12,49,146,94,2,4,12,4,4,0,16,0,480,146,0,0,0,0,0,0,3,0,1.5,0,0,0,0,3,48,60,15,14,1,3,5,8,0,9,30,15,25,1786,34,2,25,871,871,2,12,12,12,0,8,549,651,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
13,48,147,95,3,4,7,4,5,3,11,0,484,147,0,0,0,0,0,0,8,0,1,6,0,0.5,0,7,50,58,12,14,3,8,5,13,0,8,30,7,20,1796,36,1,20,840,840,0,13,6,6,0,5,548,652,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
14,49,147,99,2,5,1,1,2,1,6,0,492,147,0,0,0,0,0,0,5,0,1,3,0,0,0,5,48,60,11,14,1,5,10,15,0,7,30,6,12,1808,36,0,12,803,803,2,16,4,4,0,4,550,650,0,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
15,49,145,96,1,8,8,4,2,0,16,0,482,145,0,0,0,0,0,1,5,0,0.5,6,0,0,0,7,46,62,11,13,1,7,8,15,1,1,30,6,13,1818,36,1,13,771,771,0,12,3,3,0,2,550,650,0,500,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
16,48,149,95,3,2,7,2,3,3,9,0,488,149,0,0,0,0,0,0.5,5,0,0.5,5,0,0,0,6,48,60,8,14,0,6,13,19,0,3,30,8,7,1823,36,0,7,733,733,0,17,3,3,0,3,551,649,0,500,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
17,48,149,97,2,3,4,3,1,2,7,0,492,149,0,0,0,0,0,0,4,0,0,4,0,0,0,4,46,62,7,12,0,4,8,12,0,5,30,8,13,1829,36,2,13,696,696,1,12,4,4,0,4,551,649,0,500,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
18,48,148,96,2,4,4,4,4,4,8,0,488,148,0,0,0,0,0,0.5,5,0,0,6,0,0,0,6,41,67,8,14,0,6,10,16,0,2,30,3,13,1835,36,2,13,655,655,2,12,5,5,0,4,551,649,0,500,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
19,49,147,98,1,4,4,4,2,0,8,0,490,147,0,0,0,0,0,0,6,0,0.5,5,0,0,0,6,44,64,8,13,0,6,7,13,0,4,30,3,12,1839,36,4,12,633,633,0,11,3,3,0,2,551,649,0,500,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
20,48,146,97,5,5,4,1,5,2,9,0,486,146,0,0,0,0,0,0.5,7,0,0,8,0,0,0,8,43,65,9,13,0,8,11,19,1,5,30,4,12,1843,36,1,12,610,610,0,9,3,3,0,3,551,649,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
21,48,147,98,3,3,3,5,4,1,6,0,490,147,0,0,0,0,0,1,4,0,1,4,0,0,0,6,48,60,9,13,0,6,7,13,1,3,30,0,10,1845,36,2,10,585,585,2,10,3,3,0,3,551,649,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
22,50,146,98,2,3,4,1,5,0,7,0,488,146,0,0,0,0,0,1,5,1,0.5,7,0,0,0,8,41,67,7,15,4,8,7,15,0,2,30,1,6,1852,37,2,6,570,570,1,12,2,2,0,2,547,653,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
23,48,147,97,3,3,6,5,3,0,9,0,488,147,0,0,0,0,0,1,3,0,0,5,0,0,0,5,33,75,5,13,3,5,6,11,0,4,30,3,9,1861,37,4,9,585,585,2,15,3,3,0,3,548,652,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
24,49,146,93,2,3,12,5,7,2,15,0,478,146,0,0,0,0,0,0.5,4,0,0.5,4,0,0,0,5,31,77,6,12,0,5,9,14,0,6,30,5,8,1866,39,2,8,576,576,0,13,2,2,0,1,551,649,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
25,48,147,99,4,3,2,3,3,0,5,0,492,147,0,0,0,0,0,0,5,0,0,4,1,0,0,5,32,76,5,13,2,5,8,13,1,4,30,4,6,1878,40,2,6,583,583,0,17,3,3,0,1,549,651,0,499,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
