T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,68,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1,48,146,96,4,8,6,0,2,2,14,0,484,146,0,0,0,0,0,1.5,3,0,1,3,1,0,0,6,16,92,2,10,2,6,11,17,0,3,30,5,4,886,7,5,4,479,479,1,18,5,5,0,5,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2,49,147,94,0,7,7,3,4,5,14,0,482,147,0,0,0,0,0,1,3,0,1.5,2,0,0,0,5,14,94,2,9,1,5,10,15,0,4,30,3,5,887,7,3,5,493,493,0,11,2,2,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3,49,149,97,1,3,4,1,1,2,7,0,492,149,0,0,0,0,0,0,4,0,0.5,2,1,0,0,4,14,94,2,10,3,4,5,9,0,12,30,4,14,892,7,3,14,519,519,0,10,3,3,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4,48,148,95,3,4,5,2,5,5,9,0,486,148,0,0,0,0,0,0.5,6,2,2.5,4,0,0,0,9,14,94,3,9,2,9,4,13,1,6,30,4,13,894,8,6,13,523,523,0,16,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5,49,148,96,1,6,6,0,0,2,12,0,488,148,0,0,0,0,0,1,3,0,1.5,2,0,0,0,5,11,97,1,11,0,5,11,16,0,6,30,6,11,898,9,7,11,538,538,0,14,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6,49,147,97,1,6,4,2,2,2,10,0,488,147,0,0,0,0,0,0.5,4,0,0,5,0,0,0,5,13,95,3,11,0,5,9,14,0,7,30,2,13,902,8,6,13,538,538,0,20,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
7,49,147,95,2,5,7,1,4,3,12,0,484,147,0,0,0,0,0,1.5,2,0,1.5,2,0,0,0,5,15,93,1,13,1,5,6,11,0,9,30,5,17,904,8,5,17,569,569,0,12,7,7,0,7,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
8,49,147,96,1,4,6,4,4,2,10,0,486,147,0,0,0,0,0,1,7,0,2,4,1,0,0,9,15,93,1,13,2,9,6,15,0,5,30,7,12,913,8,16,12,577,577,3,19,5,5,0,4,548,652,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
9,49,145,97,2,8,3,2,5,3,11,0,484,145,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,17,91,5,11,1,5,9,14,1,5,30,6,15,915,8,5,15,592,592,1,13,5,5,0,4,549,651,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
10,49,146,97,1,5,5,5,4,1,10,0,486,146,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,18,90,3,13,0,5,6,11,2,5,30,4,20,917,8,4,20,593,593,0,15,4,4,0,4,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
11,47,146,97,4,7,4,5,3,2,11,0,486,146,0,0,0,0,0,1,5,0,1,5,0,0,0,7,15,93,5,11,0,7,8,15,1,5,30,4,12,925,8,7,12,583,583,2,10,9,9,0,8,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
12,49,146,97,1,7,3,3,4,3,10,0,486,146,0,0,0,0,0,1,5,0,2,2,1,0,0,7,17,91,3,11,2,7,13,20,1,3,30,6,13,930,8,5,13,601,601,0,16,9,9,0,7,548,652,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
13,49,147,98,0,4,2,6,4,2,6,0,490,147,0,0,0,0,0,1,4,0,2,2,0,0,0,6,17,91,5,9,1,6,8,14,0,5,30,6,17,936,8,8,16,621,621,2,17,5,5,0,3,549,651,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
14,48,148,94,3,4,7,2,5,5,11,0,484,148,0,0,0,0,0,1.5,5,0,1,6,0,0,0,8,18,90,3,11,1,8,4,12,0,7,30,6,14,940,8,10,14,627,627,2,14,5,5,0,4,549,651,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
15,50,146,97,0,7,5,1,2,1,12,0,486,146,0,0,0,0,0,1.5,5,0,1.5,5,0,0,0,8,14,94,0,13,2,8,4,12,0,4,30,6,18,948,9,5,18,658,658,2,15,9,9,0,7,548,652,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
16,49,145,98,3,6,4,2,4,0,10,0,486,145,0,0,0,0,0,1,7,0,2.5,4,0,0,0,9,26,82,4,9,0,9,5,14,2,5,30,5,13,957,9,2,13,666,666,0,19,10,10,0,10,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
17,50,145,98,1,5,4,3,5,0,9,0,486,145,0,0,0,0,0,0.5,5,0,1,3,1,0,0,6,23,85,3,13,0,6,6,12,1,5,30,6,16,957,10,7,16,665,665,1,16,9,9,0,7,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
18,50,146,97,1,3,5,3,6,1,8,0,486,146,0,0,0,0,0,1.5,6,0,2,4,1,0,0,9,23,85,6,10,0,9,9,18,0,4,30,5,19,963,11,7,17,673,673,1,15,8,8,0,8,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
19,50,144,97,1,7,4,3,7,2,11,0,482,144,0,0,0,0,0,1,8,1,1.5,7,1,0,0,11,23,85,4,12,1,11,5,16,0,5,30,5,12,962,11,6,12,668,668,0,16,7,7,0,6,549,651,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
20,47,147,96,4,3,6,7,5,2,9,0,486,147,0,0,0,0,0,0.5,3,0,0,4,0,0,0,4,24,84,4,11,0,4,9,13,0,7,30,5,22,966,11,5,22,674,674,0,17,5,5,0,5,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
