T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,0,1,1,1,1
1,49,147,98,0,5,2,5,3,2,7,0,490,147,0,0,0,0,0,1.5,1,0,1,2,0,0,0,4,19,89,3,9,2,4,2,6,0,3,30,0,6,887,6,4,6,471,471,2,12,4,4,0,4,547,653,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
2,49,145,94,3,6,8,2,8,4,14,0,478,145,0,0,0,0,0,2,5,0,1,7,0,0,0,9,20,88,2,10,2,9,5,14,0,3,30,2,12,893,7,4,12,474,474,1,13,4,4,0,3,547,653,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
3,50,148,98,1,2,2,0,4,2,4,0,492,148,0,0,0,0,0,1.5,5,0,0.5,7,0,0,0,8,16,92,1,11,1,8,9,17,1,4,30,2,13,895,7,8,13,485,485,2,12,4,4,0,4,548,652,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
4,48,145,97,1,10,4,6,2,2,14,0,484,145,0,0,0,0,0,0.5,6,0,2.5,2,0,0,0,7,13,95,3,9,1,7,8,15,1,3,30,2,5,897,7,10,5,502,502,1,15,2,2,0,1,548,652,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
5,48,147,98,1,7,1,5,2,3,8,0,490,147,0,0,0,0,0,1.5,2,1,1,4,0,0,0,6,17,91,3,9,3,6,9,15,0,4,30,0,7,899,7,9,7,489,489,1,19,1,1,0,1,547,653,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
6,48,147,97,3,5,2,3,5,4,7,0,488,147,0,0,0,0,0,1,3,0,1.5,1,1,0,0,5,15,93,2,10,4,5,7,12,0,1,30,1,8,901,7,10,8,483,483,0,15,3,3,0,2,546,654,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
7,50,147,98,0,4,2,2,4,2,6,0,490,147,0,0,0,0,0,0.5,1,0,0,2,0,0,0,2,17,91,0,12,0,2,10,12,0,6,30,2,7,905,7,13,7,483,483,2,13,3,3,0,3,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
8,49,146,99,2,6,2,2,2,0,8,0,490,146,0,0,0,0,0,1,3,0,1.5,1,1,0,0,5,17,91,2,10,0,5,7,12,0,6,30,3,10,910,7,6,10,487,487,1,18,2,2,0,1,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
9,49,145,98,2,8,1,2,5,3,9,0,486,145,0,0,0,0,0,1.5,3,0,0.5,4,1,0,0,6,19,89,2,10,0,6,4,10,0,2,30,0,13,912,7,8,12,499,499,2,16,1,1,0,1,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
