T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1,50,146,98,1,3,3,3,6,1,6,0,488,146,0,0,0,0,0,1.5,3,0,0.5,5,0,0,0,6,19,89,0,12,0,6,7,13,0,3,30,1,7,884,6,2,7,475,475,0,17,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2,49,146,96,2,4,6,4,6,2,10,0,484,146,0,0,0,0,0,0.5,4,0,1.5,1,1,0,0,5,21,87,4,8,0,5,5,10,1,4,30,4,8,886,6,6,8,478,478,0,9,4,4,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3,49,147,98,1,3,2,5,5,2,5,0,490,147,0,0,0,0,0,0,5,1,2.5,1,0,0,0,6,15,93,2,10,1,6,7,13,0,4,30,2,5,891,6,13,5,481,481,0,8,5,5,0,5,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4,50,145,97,2,5,5,1,6,1,10,0,484,145,0,0,0,0,0,2.5,4,1,1,6,2,0,0,10,18,90,3,9,1,10,6,16,0,2,30,1,10,893,6,4,10,485,485,0,16,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5,49,147,97,2,3,5,3,4,1,8,0,488,147,0,0,0,0,0,1,5,0,2,1,2,0,0,7,18,90,4,8,2,7,9,16,0,8,30,3,5,895,6,5,5,474,474,0,14,6,6,0,5,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6,49,147,97,2,3,5,3,4,1,8,0,488,147,0,0,0,0,0,0.5,2,0,1,1,0,0,0,3,16,92,5,7,2,3,9,12,1,4,30,2,6,897,7,10,6,477,477,1,13,6,6,0,5,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7,48,149,96,3,4,4,0,2,4,8,0,490,149,0,0,0,0,0,0.5,6,1,2,4,0,0,0,8,15,93,2,8,2,8,6,14,0,6,30,2,12,897,6,7,11,482,482,0,18,5,5,0,5,547,653,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
8,48,149,97,0,6,1,4,1,5,7,0,492,149,0,0,0,0,0,0.5,3,0,1,1,1,0,0,4,14,94,1,9,2,4,8,12,0,5,30,3,12,900,6,13,12,491,491,1,12,4,4,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
9,48,150,97,1,2,3,4,1,3,5,0,494,150,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15,93,2,8,0,1,8,9,0,8,30,3,9,899,6,12,9,503,503,0,14,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,25,25,1,1,2,1,2
