T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1,48,148,97,1,4,4,6,2,2,8,0,490,148,0,0,0,0,0,1.5,3,0,2,2,0,0,0,6,18,90,0,11,1,6,8,14,0,7,30,1,10,886,7,9,10,479,479,0,16,6,6,0,5,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2,49,147,97,1,6,2,2,4,4,8,0,488,147,0,0,0,0,0,1,1,1,1,2,0,0,0,4,17,91,0,12,0,4,7,11,1,2,30,1,6,891,7,9,6,467,467,1,26,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3,49,145,97,3,7,3,1,6,3,10,0,484,145,0,0,0,0,0,0.5,3,0,0.5,2,1,0,0,4,15,93,1,11,0,4,9,13,0,5,30,1,10,898,7,5,10,470,470,2,11,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4,49,148,96,1,4,4,2,4,4,8,0,488,148,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,14,94,2,10,1,4,9,13,0,0,30,1,10,899,7,5,10,478,478,0,13,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5,49,146,98,2,7,3,1,2,1,10,0,488,146,0,0,0,0,0,0,5,0,1,3,0,0,0,5,13,95,1,10,0,5,10,15,0,10,30,3,5,899,7,9,5,492,492,2,13,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6,50,147,96,0,4,7,2,3,1,11,0,486,147,0,0,0,0,0,0.5,2,0,1,1,0,0,0,3,16,92,2,10,0,3,8,11,0,10,30,2,10,904,9,10,9,484,484,1,14,4,4,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7,49,145,97,3,7,4,1,5,2,11,0,484,145,0,0,0,0,0,0.5,6,0,1.5,3,1,0,0,7,17,91,3,9,1,7,5,12,1,4,30,1,16,909,9,5,15,489,489,1,12,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
8,49,147,98,3,2,2,2,6,2,4,0,490,147,0,0,0,0,0,0,4,0,0.5,2,1,0,0,4,20,88,2,10,1,4,10,14,0,5,30,2,4,910,8,7,4,491,491,0,12,3,3,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
9,50,147,97,0,6,3,0,3,3,9,0,488,147,0,0,0,0,0,1,4,0,1.5,3,0,0,0,6,19,89,2,10,1,6,8,14,0,5,30,1,9,910,8,12,9,480,480,3,11,4,4,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
10,50,148,97,1,1,4,1,5,2,5,0,490,148,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,21,87,3,9,1,4,9,13,0,8,30,2,7,913,8,7,7,498,498,1,13,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
11,49,148,97,2,3,4,1,3,2,7,0,490,148,0,0,0,0,0,0.5,3,1,0.5,4,0,0,0,5,23,85,2,9,0,5,6,11,0,1,30,2,15,915,8,11,15,495,495,1,17,0,0,0,0,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
12,49,148,95,1,3,8,3,3,2,11,0,486,148,0,0,0,0,0,0.5,4,0,1,3,0,0,0,5,25,83,2,10,2,5,6,11,0,5,30,3,9,922,8,7,8,486,486,0,19,2,2,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
13,48,146,97,2,8,5,4,1,1,13,0,486,146,0,0,0,0,0,0,4,0,1,1,1,0,0,4,29,79,0,12,0,4,5,9,0,5,30,2,9,925,8,6,9,483,483,1,20,4,4,0,4,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
14,49,148,97,1,3,2,3,5,4,5,0,490,148,0,0,0,0,0,1,3,1,1,4,0,0,0,6,23,85,1,11,0,6,9,15,0,4,30,3,8,927,8,6,8,486,486,0,16,3,3,0,2,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
15,49,149,94,1,4,8,0,2,4,12,0,486,149,0,0,0,0,0,1,3,1,1.5,2,1,0,0,6,22,86,4,8,0,6,8,14,1,3,30,3,19,928,8,6,19,486,486,0,13,3,3,0,3,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
16,49,145,97,1,10,3,2,3,3,13,0,484,145,0,0,0,0,0,1,3,0,0.5,3,1,0,0,5,24,84,4,8,0,5,11,16,1,2,30,4,6,928,8,7,6,475,475,0,11,3,3,0,2,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
17,49,149,98,1,1,2,3,3,2,3,0,494,149,0,0,0,0,0,0.5,6,0,0.5,6,0,0,0,7,26,82,0,12,0,7,6,13,0,3,30,3,14,932,8,10,12,472,472,1,17,2,2,0,0,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
18,48,148,96,2,4,5,4,3,3,9,0,488,148,0,0,0,0,0,0.5,3,1,0.5,4,0,0,0,5,22,86,2,10,0,5,8,13,0,4,30,1,14,935,8,11,14,495,495,0,14,1,1,0,1,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
19,49,147,95,2,5,5,1,6,5,10,0,484,147,0,0,0,0,0,0.5,7,0,1.5,4,1,0,0,8,24,84,3,9,0,8,11,19,0,4,30,5,6,937,8,4,6,477,477,1,11,1,1,0,1,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
20,50,147,98,0,5,0,1,5,4,5,0,490,147,0,0,0,0,0,1.5,4,0,1.5,4,0,0,0,7,23,85,3,9,0,7,6,13,0,10,30,1,13,941,8,5,13,471,471,1,20,1,1,0,1,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
21,47,150,95,5,2,6,0,2,4,8,0,490,150,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0,2,21,87,3,9,1,2,8,10,0,7,30,2,6,942,8,8,6,480,480,0,12,3,3,0,3,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
22,47,150,96,3,3,4,3,1,4,7,0,492,150,0,0,0,0,0,1,6,0,0,6,2,0,0,8,22,86,3,9,1,8,5,13,1,2,30,2,6,943,8,12,6,455,455,2,12,2,2,0,2,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
23,48,148,99,2,5,1,3,0,1,6,0,494,148,0,0,0,0,0,0.5,2,1,0.5,3,0,0,0,4,21,87,2,10,1,4,9,13,0,2,30,2,9,944,8,10,9,456,456,2,20,3,3,0,2,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
24,46,147,98,5,7,2,5,1,2,9,0,490,147,0,0,0,0,0,1,6,0,1.5,5,0,0,0,8,26,82,2,9,1,8,8,16,0,4,30,1,9,946,8,5,9,449,449,0,13,3,3,0,2,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
25,47,148,97,3,4,2,6,4,4,6,0,490,148,0,0,0,0,0,0.5,9,0,1,7,1,0,0,10,26,82,4,6,1,10,7,17,0,5,30,4,9,951,9,3,8,450,450,0,14,2,2,0,2,550,650,0,498,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
26,48,147,98,3,5,3,3,2,1,8,0,490,147,0,0,0,0,0,1,6,0,2,4,0,0,0,8,24,84,2,8,0,8,9,17,0,6,30,4,11,954,9,8,11,463,463,2,16,3,3,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
27,49,147,96,1,3,7,5,4,1,10,0,486,147,0,0,0,0,0,1,7,0,2,4,1,0,0,9,21,87,1,9,0,9,8,17,0,4,30,1,9,958,9,8,9,459,459,1,14,0,0,0,0,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
28,48,148,97,1,5,2,5,3,4,7,0,490,148,0,0,0,0,0,1.5,3,0,1,4,0,0,0,6,20,88,1,9,0,6,7,13,0,4,30,2,9,963,9,7,8,472,472,1,13,4,4,0,4,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
29,49,144,96,2,10,4,2,6,4,14,0,480,144,0,0,0,0,0,1,7,0,1,6,1,0,0,9,21,87,1,9,0,9,8,17,0,5,30,1,9,962,9,8,9,460,460,0,11,4,4,0,4,551,649,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
30,49,145,97,3,7,4,1,5,2,11,0,484,145,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,18,90,2,8,1,4,10,14,0,10,30,1,9,961,9,6,9,472,472,3,16,4,4,0,2,550,650,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
