T,AMPAR1,AMPAR12,AMPAR23,AMPAR1homo,AMPAR12hetero,AMPAR23hetero,A1,A2,A3,A2sub1,A2sub2,A2subboth,Basal,Small,Medium,Large,Glu_Trigger,Glutamate_level,S831_P,S831_PP,S831_u,S845_P,S845_PP,S845_u,S818_p,S818_pp,S818_u,I1_P,I1_u,PKA_a,PKA_i,Slots,Synaptic_12,Synaptic_23,Synaptic_receptors,PP2B,Calcium_Levels,R2C2_total,cAMP_levels,Active_CaM,Phos_CK_subunits,Phos_CK_hexamers,Free_PP,CaM_CaMKII_C4,CaMKII_CaM,CaM_CaMKII_all,GRIP_level,PICK1_level,actPKC_level,PKC_membrane,PKC_endo,PKC_PICK1,subunits_AMPA_PSD,subunits_AMPA_X,subunits_AMPA_endo,K868,K868_ub,K868_ub2,K868_ub3,K868_ub4,K868_ub5,K870_ub,K870_ub2,K870_ub3,K870_ub4,K870_ub5,K882_ub,K882_ub2,K882_ub3,K882_ub4,K882_ub5,Gap,Pulse_Number,Pulse_Numberb,Pulse_Numberc,Pulse,Gapb,Pulseb,Gapc,Pulsec
0,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1,49,146,97,2,7,3,1,4,3,10,0,486,146,0,0,0,0,0,0.5,3,0,0.5,3,0,0,0,4,18,90,0,12,0,4,11,15,0,4,30,2,9,880,6,13,9,461,461,0,8,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
2,48,146,96,2,7,5,5,4,3,12,0,484,146,0,0,0,0,0,1,5,0,2,2,1,0,0,7,21,87,2,7,0,7,6,13,0,5,30,4,11,884,6,5,11,472,472,1,13,1,1,0,0,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
3,49,147,97,1,4,3,4,5,3,7,0,488,147,0,0,0,0,0,1,5,0,0.5,5,1,0,0,7,19,89,3,7,0,7,11,18,0,6,30,5,7,886,6,4,7,466,466,1,13,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
4,49,146,98,1,7,3,3,2,1,10,0,488,146,0,0,0,0,0,1,1,0,0,3,0,0,0,3,21,87,3,7,0,3,9,12,0,4,30,1,8,888,6,10,8,467,467,0,12,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
5,49,148,97,0,5,2,3,3,4,7,0,490,148,0,0,0,0,0,1.5,3,0,2,2,0,0,0,6,20,88,0,10,0,6,7,13,0,4,30,2,7,888,6,9,7,466,466,0,9,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
6,48,147,95,2,7,6,3,3,4,13,0,484,147,0,0,0,0,0,0.5,5,0,0.5,5,0,0,0,6,14,94,3,7,0,6,8,14,1,3,30,0,10,888,6,13,9,469,469,1,17,2,2,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
7,48,146,95,3,9,5,1,4,5,14,0,482,146,0,0,0,0,0,0,4,1,1.5,2,0,0,0,5,13,95,1,9,0,5,9,14,0,7,30,2,19,889,6,7,19,487,487,0,13,2,2,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
8,47,146,97,5,6,5,4,3,1,11,0,486,146,0,0,0,0,0,1,5,0,1.5,4,0,0,0,7,12,96,1,9,4,7,10,17,0,4,30,1,11,895,7,7,11,485,485,0,15,0,0,0,0,545,655,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
9,49,147,98,0,6,2,4,2,2,8,0,490,147,0,0,0,0,0,3,5,0,1,7,2,0,0,11,14,94,2,8,0,11,6,17,1,3,30,1,6,897,7,15,6,489,489,1,16,2,2,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
