# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_3.out' -seed 831269643
# "uuid" : "850459710"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,49,148,96,1,3,5,3,4,3,8,0,488,148,0,0,0,0,0,1.5,2,1,1,3,1,0,0,6,21,87,1,11,0,6,9,15,0,10,30,1,8,883,6,3,8,484,484,0,14,2,2,0,1,550,650,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
2.,49,147,97,1,4,4,4,4,2,8,0,488,147,0,0,0,0,0,1,4,0,0,6,0,0,0,6,22,86,4,8,2,6,10,16,0,12,30,3,8,880,5,3,8,464,464,0,9,3,3,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,2,1,2
3.,46,148,98,5,3,2,7,3,2,5,0,492,148,0,0,0,0,0,0.5,4,0,1.5,2,0,0,0,5,20,88,2,10,1,5,12,17,0,6,30,3,11,877,6,4,11,465,465,0,12,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,2,1,2
4.,48,148,97,3,3,2,3,5,4,5,0,490,148,0,0,0,0,0,0.5,5,1,2,3,0,0,0,7,22,86,2,10,2,7,7,14,0,3,30,2,6,876,6,6,6,467,467,2,16,3,3,0,3,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,25,25,1,1,2,1,2
5.,48,149,97,3,4,4,0,0,2,8,0,492,149,0,0,0,0,0,1,6,1,2,3,2,0,0,9,21,87,2,10,1,9,6,15,0,5,30,3,10,876,6,6,10,468,468,1,11,2,2,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
6.,47,147,98,5,7,2,1,1,2,9,0,490,147,0,0,0,0,0,2.5,2,0,0.5,4,2,0,0,7,21,87,1,11,1,7,6,13,0,6,30,3,10,872,6,4,9,455,455,1,12,1,1,0,1,551,649,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26,25,25,1,1,2,1,2
7.,48,146,97,2,8,3,4,3,3,11,0,486,146,0,0,0,0,0,1,8,0,3.5,2,1,0,0,10,20,88,3,9,1,10,6,16,0,7,30,1,9,872,7,3,9,456,456,1,16,3,3,0,2,551,649,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26,25,25,1,1,2,1,2
8.,48,149,95,1,3,8,5,1,2,11,0,488,149,0,0,0,0,0,1.5,4,1,1.5,3,2,0,0,8,18,90,2,9,2,8,11,19,1,3,30,3,7,870,8,3,7,451,451,2,15,7,7,0,6,550,650,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26,25,25,1,1,2,1,2
9.,48,147,97,3,7,4,1,1,2,11,0,488,147,0,0,0,0,0,1.5,5,0,2,3,1,0,0,8,16,92,2,10,0,8,7,15,1,3,30,2,5,873,8,4,5,456,456,0,14,6,6,0,3,552,648,0,499,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26,25,25,1,1,2,1,2
10.,49,150,96,1,2,4,0,2,4,6,0,492,150,0,0,0,0,0,0,7,0,1.5,1,3,0,0,7,15,93,3,9,0,7,9,16,0,5,30,2,10,874,9,6,10,467,467,0,14,5,5,0,4,552,648,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
11.,48,149,97,1,4,2,4,2,4,6,0,492,149,0,0,0,0,0,0.5,4,3,2,4,0,0,0,8,15,93,0,12,0,8,7,15,0,1,30,3,14,874,9,5,13,470,470,2,18,1,1,0,1,552,648,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
12.,48,148,97,1,5,3,5,2,3,8,0,490,148,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,14,94,4,10,1,5,10,15,0,5,30,3,10,870,9,11,10,480,480,0,13,1,1,0,0,552,648,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
13.,47,150,96,4,2,4,2,2,4,6,0,492,150,0,0,0,0,0,1.5,5,1,2,4,1,0,0,9,14,94,2,12,1,9,4,13,0,6,30,3,8,872,9,10,8,481,481,1,15,3,3,0,2,552,648,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,25,25,1,1,2,1,2
14.,47,148,96,2,6,5,6,1,3,11,0,488,148,0,0,0,0,0,1,4,1,1.5,4,0,0,0,7,16,92,2,12,1,7,9,16,0,10,30,6,8,873,10,8,8,463,463,0,15,3,3,0,3,552,648,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
15.,48,148,95,3,5,5,1,4,5,10,0,486,148,0,0,0,0,0,1.5,2,0,1,1,2,0,0,5,21,87,4,10,2,5,11,16,0,6,30,2,10,874,10,5,9,465,465,0,17,5,5,0,4,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
16.,48,149,97,1,4,4,4,0,2,8,0,492,149,0,0,0,0,0,0,3,0,0.5,2,0,0,0,3,21,87,3,11,2,3,7,10,0,5,30,4,6,874,10,10,6,458,458,1,10,3,3,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
17.,49,147,96,1,5,6,3,3,2,11,0,486,147,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,20,88,2,12,3,5,12,17,1,9,30,3,5,874,10,6,5,467,467,0,7,4,4,0,4,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
18.,49,148,97,0,5,4,3,1,2,9,0,490,148,0,0,0,0,0,0.5,6,0,1,5,0,0,0,7,20,88,4,10,1,7,5,12,0,3,30,1,7,875,10,7,7,460,460,0,15,2,2,0,2,552,648,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,25,25,1,1,2,1,2
19.,49,147,98,2,4,2,2,4,2,6,0,490,147,0,0,0,0,0,0,3,1,1.5,1,0,0,0,4,22,86,3,11,1,4,9,13,0,9,30,1,3,877,12,8,3,473,473,1,12,2,2,0,1,552,648,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
20.,50,147,97,0,4,2,2,6,4,6,0,488,147,0,0,0,0,0,1,5,0,0.5,5,1,0,0,7,26,82,3,11,2,7,9,16,0,6,30,2,12,873,12,8,12,464,464,0,13,2,2,0,1,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
21.,49,147,95,1,4,6,4,6,4,10,0,484,147,0,0,0,0,0,0.5,4,0,0.5,4,0,0,0,5,26,82,4,10,2,5,6,11,0,4,30,0,16,872,12,8,16,476,476,1,14,1,1,0,1,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
22.,48,149,98,1,4,1,4,1,3,5,0,494,149,0,0,0,0,0,2,3,0,1.5,3,1,0,0,7,30,78,6,8,0,7,10,17,0,6,30,2,10,872,10,1,10,481,481,0,17,2,2,0,1,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
23.,50,148,96,0,4,5,0,3,3,9,0,488,148,0,0,0,0,0,1,6,0,1.5,4,1,0,0,8,32,76,6,8,0,8,10,18,0,2,30,1,5,866,10,6,5,492,492,0,15,2,2,0,1,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
24.,47,150,95,4,4,5,0,1,5,9,0,490,150,0,0,0,0,0,0.5,4,0,1,3,0,0,0,5,29,79,2,12,0,5,7,12,0,7,30,1,8,867,10,5,8,474,474,1,11,2,2,0,2,554,646,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
