# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_HFS16.ka' '-l' '5000' '-p' '1' '-o' 'HFS16_5.out' -seed 916513984
# "uuid" : "520365939"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,50,144,97,2,8,6,0,4,0,14,0,482,144,0,0,0,0,0,0.5,4,0,1.5,1,1,0,0,5,16,92,1,11,3,5,7,12,29,111,30,3,759,1229,14,5,759,1560,1560,0,13,37,37,0,28,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,50,146,97,1,1,5,5,8,1,6,0,486,146,0,0,0,0,0,0.5,2,0,0.5,2,0,0,0,3,18,90,1,11,1,3,7,10,31,117,30,18,780,1428,23,2,779,1569,1569,0,10,39,39,0,35,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,49,147,96,2,4,8,2,2,0,12,0,486,147,0,0,0,0,0,0.5,3,0,2,0,0,0,0,4,17,91,5,11,0,4,7,11,29,165,30,15,792,1547,28,6,792,1578,1578,0,11,40,40,0,34,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,50,147,97,1,3,5,1,4,1,8,0,488,147,0,0,0,0,0,0.5,7,0,2,1,3,0,0,8,19,89,7,11,0,8,4,12,31,165,30,16,794,1682,32,4,792,1572,1572,1,17,38,38,0,33,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,47,148,97,4,3,3,5,4,3,6,0,490,148,0,0,0,0,0,1.5,4,0,2.5,1,1,0,0,7,22,86,10,12,0,7,11,18,2,15,30,15,117,1725,36,2,117,1491,1491,0,12,33,33,0,29,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,49,146,97,2,7,4,1,3,2,11,0,486,146,0,0,0,0,0,0.5,4,0,1,1,2,0,0,5,29,79,14,14,0,5,9,14,2,8,30,14,57,1737,37,4,57,1394,1394,0,14,26,26,0,24,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,49,146,98,0,5,4,7,3,0,9,0,488,146,0,0,0,0,0,0.5,5,1,2,1,2,0,0,7,37,71,19,15,0,7,7,14,1,8,30,19,32,1744,37,3,32,1271,1271,2,19,19,19,0,12,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,48,147,98,1,4,2,8,4,2,6,0,490,147,0,0,0,0,0,0.5,4,0,1,2,1,0,0,5,47,61,23,14,0,5,7,12,1,3,30,17,24,1750,38,1,24,1180,1180,1,15,18,18,0,15,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,49,147,97,1,7,2,1,3,4,9,0,488,147,0,0,0,0,0,0,1,0,0,1,0,0,0,1,48,60,23,14,0,1,7,8,1,9,30,17,17,1757,39,1,16,1097,1097,0,17,11,11,0,8,550,650,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
