# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_LFS16.ka' '-l' '5000' '-p' '1' '-o' 'LFS16_4.out' -seed 94595209
# "uuid" : "388533977"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,68,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
1.,47,148,94,4,7,7,1,2,5,14,0,484,148,0,0,0,0,0,1,3,0,1.5,2,0,0,0,5,17,91,1,11,2,5,9,14,2,6,30,2,8,879,5,3,8,470,470,1,7,4,4,0,4,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
2.,48,150,97,1,5,1,1,0,5,6,0,494,150,0,0,0,0,0,0.5,4,0,1.5,2,0,0,0,5,15,93,4,8,2,5,5,10,0,10,30,2,9,880,4,7,8,503,503,1,10,4,4,0,2,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
3.,48,148,95,2,2,7,6,5,3,9,0,486,148,0,0,0,0,0,2,3,0,1.5,4,0,0,0,7,17,91,1,11,1,7,7,14,0,2,30,2,10,880,4,10,8,515,515,1,14,2,2,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
4.,49,146,96,1,8,5,2,3,3,13,0,484,146,0,0,0,0,0,0,4,1,1,3,0,0,0,5,17,91,2,10,0,5,7,12,0,6,30,4,22,877,4,0,22,554,554,1,15,1,1,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
5.,49,149,98,2,1,2,1,3,2,3,0,494,149,0,0,0,0,0,0,7,0,1,3,2,0,0,7,18,90,2,10,1,7,9,16,0,1,30,4,20,878,5,6,19,567,567,2,11,4,4,0,2,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
6.,49,149,96,1,3,5,1,2,3,8,0,490,149,0,0,0,0,0,1.5,4,1,1.5,5,0,0,0,8,19,89,1,11,0,8,9,17,0,7,30,2,16,884,5,11,16,591,591,0,11,5,5,0,5,549,651,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
7.,48,150,95,2,1,6,3,3,4,7,0,490,150,0,0,0,0,0,1.5,2,0,1,2,1,0,0,5,19,89,1,11,1,5,6,11,0,2,30,3,18,885,6,8,18,632,632,1,18,3,3,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
8.,47,150,96,2,1,4,7,3,4,5,0,492,150,0,0,0,0,0,0.5,4,1,1,3,1,0,0,6,17,91,5,7,1,6,9,15,0,4,30,4,8,882,6,4,8,654,654,0,13,4,4,0,4,548,652,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
9.,49,148,97,1,5,1,1,4,5,6,0,490,148,0,0,0,0,0,1.5,3,0,1,2,2,0,0,6,20,88,3,9,1,6,5,11,0,8,30,5,19,882,7,9,17,660,660,1,14,5,5,0,4,548,652,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,25,25,25,0,1,1,1,1
