# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Theta16.ka' '-l' '5000' '-p' '1' '-o' 'Theta16_2.out' -seed 42077964
# "uuid" : "848442923"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,0,1,1,1,1
1.,47,145,94,4,9,8,5,5,4,17,0,478,145,0,0,0,0,0,1,6,0,1.5,4,1,0,0,8,18,90,1,11,2,8,5,13,1,5,30,2,11,884,6,3,11,472,472,0,18,2,2,0,1,547,653,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,1,1,1
2.,49,146,97,2,6,4,2,4,2,10,0,486,146,0,0,0,0,0,0.5,6,0,1,4,1,0,0,7,20,88,4,8,1,7,3,10,1,1,30,0,11,884,6,7,11,485,485,1,14,2,2,0,2,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
3.,48,148,96,1,5,5,5,2,3,10,0,488,148,0,0,0,0,0,0.5,3,0,1,1,1,0,0,4,21,87,1,11,4,4,7,11,0,2,30,1,10,878,6,6,10,484,484,0,14,2,2,0,0,546,654,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
4.,48,148,97,1,5,4,5,1,2,9,0,490,148,0,0,0,0,0,1,1,0,1,1,0,0,0,3,22,86,4,8,0,3,10,13,0,5,30,0,12,884,7,6,12,471,471,1,16,3,3,0,2,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
5.,48,148,98,0,6,1,6,1,3,7,0,492,148,0,0,0,0,0,0.5,7,0,2,3,1,0,0,8,24,84,2,10,3,8,3,11,0,8,30,1,12,883,8,4,12,480,480,1,18,1,1,0,1,547,653,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
6.,48,148,95,2,5,5,3,4,5,10,0,486,148,0,0,0,0,0,0,6,1,1.5,4,0,0,0,7,23,85,2,10,0,7,7,14,0,2,30,2,7,879,7,6,7,481,481,0,20,0,0,0,0,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
7.,48,145,98,3,9,2,3,3,2,11,0,486,145,0,0,0,0,0,0.5,6,0,0.5,5,1,0,0,7,23,85,3,8,0,7,9,16,0,4,30,0,6,876,6,5,6,491,491,0,15,0,0,0,0,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
8.,48,148,97,4,3,5,1,2,1,8,0,490,148,0,0,0,0,0,1,3,0,1,3,0,0,0,5,21,87,3,9,1,5,8,13,0,3,30,0,6,870,6,5,6,498,498,1,13,1,1,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
9.,49,145,97,2,7,5,3,4,1,12,0,484,145,0,0,0,0,0,1,5,0,1.5,3,1,0,0,7,23,85,4,8,1,7,10,17,0,5,30,1,12,866,6,4,12,501,501,0,15,1,1,0,0,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,1,1,1
