# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_cTheta16.ka' '-l' '5000' '-p' '1' '-o' 'cTheta16_3.out' -seed 253456706
# "uuid" : "272219687"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,50,147,95,1,4,8,0,4,2,12,0,484,147,0,0,0,0,0,1,8,0,3,4,0,0,0,10,18,90,2,10,1,10,7,17,0,5,30,3,10,879,6,3,10,485,485,0,14,6,6,0,6,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,50,146,99,0,5,2,3,3,0,7,0,490,146,0,0,0,0,0,1.5,3,0,2,1,1,0,0,6,18,90,3,9,1,6,8,14,0,2,30,2,17,877,6,6,17,483,483,1,15,3,3,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,50,145,96,1,8,6,0,4,2,14,0,482,145,0,0,0,0,0,3,5,0,2,5,2,0,0,11,18,90,3,9,1,11,7,18,0,4,30,0,8,873,6,5,8,481,481,0,12,3,3,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,49,145,97,2,5,6,5,5,0,11,0,484,145,0,0,0,0,0,0,2,0,0.5,1,0,0,0,2,18,90,2,10,0,2,6,8,0,5,30,0,6,872,6,5,6,478,478,0,14,2,2,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,49,147,93,3,4,8,0,8,6,12,0,480,147,0,0,0,0,0,0.5,3,1,1.5,1,1,0,0,5,17,91,3,9,0,5,6,11,0,4,30,1,2,876,6,6,2,482,482,1,14,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,49,145,97,3,6,5,2,5,1,11,0,484,145,0,0,0,0,0,1,8,0,1,7,1,0,0,10,18,90,3,9,0,10,8,18,0,6,30,1,5,873,6,3,5,484,484,1,16,4,4,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,49,147,95,1,6,8,2,2,2,14,0,484,147,0,0,0,0,0,0.5,4,2,2,3,0,0,0,7,17,91,0,10,1,7,7,14,0,3,30,6,9,871,5,3,9,487,487,0,12,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,48,147,97,3,7,5,1,0,1,12,0,488,147,0,0,0,0,0,1,3,0,1,2,1,0,0,5,18,90,2,8,2,5,6,11,1,3,30,4,12,868,5,1,12,477,477,1,15,3,3,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,49,145,98,2,9,3,1,2,1,12,0,486,145,0,0,0,0,0,1,2,1,2,1,0,0,0,5,18,90,1,9,2,5,5,10,0,5,30,4,10,864,5,4,10,469,469,0,12,3,3,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
10.,49,150,94,1,0,8,2,4,4,8,0,488,150,0,0,0,0,0,0.5,2,0,0.5,2,0,0,0,3,15,93,2,7,1,3,11,14,0,1,30,1,8,866,5,9,7,474,474,0,20,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
11.,49,146,96,0,7,5,5,4,3,12,0,484,146,0,0,0,0,0,1,3,1,1.5,3,0,0,0,6,13,95,2,8,3,6,11,17,0,5,30,2,4,863,5,6,4,459,459,1,10,4,4,0,3,546,654,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
12.,49,146,98,2,6,2,2,4,2,8,0,488,146,0,0,0,0,0,1,6,0,1.5,4,1,0,0,8,12,96,1,9,1,8,4,12,0,5,30,0,10,863,4,14,10,456,456,1,11,0,0,0,0,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
13.,49,147,96,2,5,7,1,2,1,12,0,486,147,0,0,0,0,0,0.5,1,0,0,1,1,0,0,2,14,94,3,7,0,2,4,6,0,6,30,2,5,862,4,6,5,466,466,0,17,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
14.,48,146,97,3,8,3,2,3,3,11,0,486,146,0,0,0,0,0,0.5,1,0,1,0,0,0,0,2,14,94,1,9,4,2,8,10,0,7,30,2,8,856,3,3,8,453,453,1,12,3,3,0,2,545,655,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
15.,49,149,95,0,3,5,3,4,5,8,0,488,149,0,0,0,0,0,1.5,3,0,1,4,0,0,0,6,14,94,2,8,0,6,6,12,0,1,30,3,6,855,3,8,6,455,455,0,15,5,5,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
16.,50,147,97,0,5,4,1,3,2,9,0,488,147,0,0,0,0,0,1.5,1,1,1,3,0,0,0,5,17,91,3,7,0,5,2,7,0,4,30,1,12,855,3,3,11,470,470,1,11,7,7,0,6,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
17.,48,147,96,2,6,3,4,5,5,9,0,486,147,0,0,0,0,0,1,3,0,0,4,1,0,0,5,17,91,2,8,0,5,9,14,2,5,30,1,15,857,3,4,15,462,462,0,13,5,5,0,4,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
18.,48,149,95,1,4,5,4,3,5,9,0,488,149,0,0,0,0,0,1,0,0,0,2,0,0,0,2,19,89,3,7,0,2,6,8,0,7,30,4,5,854,3,7,5,467,467,2,11,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
19.,48,150,93,3,1,9,1,4,5,10,0,486,150,0,0,0,0,0,1,2,0,1,2,0,0,0,4,19,89,2,8,0,4,5,9,0,7,30,3,10,854,3,4,10,463,463,1,14,4,4,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
20.,47,149,98,3,3,2,5,1,2,5,0,494,149,0,0,0,0,0,1,3,0,0.5,4,0,0,0,5,16,92,2,8,0,5,9,14,0,5,30,5,11,859,3,5,11,476,476,1,15,2,2,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
21.,49,146,96,1,7,5,3,4,3,12,0,484,146,0,0,0,0,0,1,2,0,0,3,1,0,0,4,18,90,4,6,1,4,9,13,1,2,30,2,13,849,3,7,13,477,477,1,13,2,2,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
22.,48,148,98,2,5,2,3,1,2,7,0,492,148,0,0,0,0,0,1,2,1,1.5,2,0,0,0,5,20,88,2,7,0,5,6,11,1,3,30,2,15,850,5,7,15,496,496,0,15,2,2,0,2,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
23.,48,149,95,2,3,6,3,3,4,9,0,488,149,0,0,0,0,0,1,3,3,2,3,1,0,0,8,18,90,2,8,0,8,8,16,0,3,30,3,9,847,6,4,9,493,493,1,13,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
24.,49,148,97,2,3,4,1,3,2,7,0,490,148,0,0,0,0,0,1.5,2,0,0,4,1,0,0,5,17,91,0,10,0,5,8,13,0,3,30,1,14,845,6,7,14,504,504,1,18,4,4,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
25.,48,147,96,2,5,6,5,3,2,11,0,486,147,0,0,0,0,0,0.5,2,1,2,0,0,0,0,4,15,93,1,9,0,4,9,13,0,6,30,1,8,846,7,7,8,511,511,0,12,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
26.,48,149,97,1,6,2,2,0,4,8,0,492,149,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14,94,3,7,1,1,7,8,0,4,30,2,9,846,8,7,9,516,516,1,15,3,3,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
27.,47,149,97,2,6,2,4,0,4,8,0,492,149,0,0,0,0,0,3,1,0,0.5,6,0,0,0,7,15,93,1,9,1,7,8,15,0,8,30,2,12,847,8,4,11,511,511,0,14,3,3,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
28.,48,150,96,1,3,4,3,1,4,7,0,492,150,0,0,0,0,0,1.5,0,0,0.5,2,0,0,0,3,13,95,1,9,0,3,4,7,0,5,30,3,5,850,9,6,5,497,497,1,10,5,5,0,5,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
29.,47,145,96,2,10,6,8,2,2,16,0,482,145,0,0,0,0,0,3,2,0,2,3,1,0,0,8,14,94,3,7,2,8,4,12,0,6,30,1,4,844,9,8,4,492,492,1,16,4,4,0,3,547,653,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
30.,48,149,97,3,2,4,2,2,2,6,0,492,149,0,0,0,0,0,1.5,5,1,1.5,5,1,0,0,9,17,91,2,8,1,9,7,16,0,4,30,3,5,837,9,8,5,471,471,1,13,5,5,0,4,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,1,0,2,1,2
