# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_3.out' -seed 409349034
# "uuid" : "323092662"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,25,25,1,1,2,1,2
1.,47,148,96,4,6,4,2,2,4,10,0,488,148,0,0,0,0,0,2.5,1,0,2,2,0,0,0,6,22,86,1,11,1,6,8,14,0,5,30,1,6,888,6,7,6,465,465,0,7,2,2,0,1,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
2.,48,147,97,4,4,5,2,3,1,9,0,488,147,0,0,0,0,0,1,3,0,1,3,0,0,0,5,21,87,2,10,1,5,6,11,0,6,30,0,6,887,7,5,6,476,476,0,13,1,1,0,1,548,652,0,500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,26,25,25,1,1,2,1,2
3.,49,146,98,3,3,2,3,7,2,5,0,488,146,0,0,0,0,0,1.5,3,1,1.5,4,0,0,0,7,19,89,1,11,1,7,6,13,0,5,30,1,8,888,7,5,8,481,481,0,17,2,2,0,2,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
4.,48,145,97,1,9,3,7,4,3,12,0,484,145,0,0,0,0,0,0.5,6,0,2,3,0,0,0,7,15,93,3,9,0,7,5,12,0,5,30,1,5,885,7,3,4,475,475,1,15,3,3,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
5.,49,145,95,3,8,6,0,6,4,14,0,480,145,0,0,0,0,0,1.5,5,0,1.5,4,1,0,0,8,14,94,1,11,0,8,7,15,0,12,30,1,9,887,7,6,9,482,482,0,20,4,4,0,4,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
6.,47,147,98,3,8,0,4,2,4,8,0,490,147,0,0,0,0,0,0,3,0,1.5,0,0,0,0,3,16,92,2,10,0,3,6,9,0,6,30,2,11,890,7,3,11,479,479,1,17,2,2,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
7.,48,151,95,1,3,5,1,0,5,8,0,492,151,0,0,0,0,0,1.5,6,0,2,3,2,0,0,9,13,95,4,8,0,9,4,13,0,5,30,2,10,890,8,7,10,472,472,1,18,3,3,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
8.,47,151,94,3,1,5,3,4,7,6,0,490,151,0,0,0,0,0,1,5,0,1.5,3,1,0,0,7,11,97,1,11,0,7,7,14,0,1,30,2,5,888,7,3,5,472,472,2,9,3,3,0,3,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
9.,48,146,99,3,7,0,3,3,2,7,0,490,146,0,0,0,0,0,0,7,1,2,3,1,0,0,8,12,96,3,9,1,8,7,15,0,2,30,2,4,885,8,6,4,471,471,2,17,3,3,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
10.,49,145,96,1,8,7,4,3,1,15,0,482,145,0,0,0,0,0,1.5,5,1,1.5,5,1,0,0,9,14,94,4,7,2,9,5,14,1,8,30,1,11,880,7,8,11,481,481,0,11,5,5,0,4,547,653,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
11.,48,148,94,1,6,6,4,4,6,12,0,484,148,0,0,0,0,0,0,7,0,0.5,5,1,0,0,7,19,89,0,12,0,7,6,13,0,4,30,2,7,876,7,6,7,488,488,0,22,3,3,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
12.,47,149,96,2,5,5,5,0,3,10,0,490,149,0,0,0,0,0,0,4,0,1.5,1,0,0,0,4,21,87,2,10,0,4,4,8,0,2,30,1,8,878,7,10,8,485,485,0,12,3,3,0,2,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
13.,49,148,98,2,2,1,2,5,3,3,0,492,148,0,0,0,0,0,0,10,0,1.5,6,1,0,0,10,21,87,3,9,1,10,8,18,0,5,30,1,5,876,8,4,5,481,481,0,12,5,5,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
14.,49,146,95,1,6,8,4,4,2,14,0,482,146,0,0,0,0,0,0.5,7,0,2.5,3,0,0,0,8,25,83,2,10,1,8,7,15,1,7,30,3,4,871,8,5,4,479,479,1,11,2,2,0,2,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
