# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_weakLTP16.ka' '-l' '5000' '-p' '1' '-o' 'weakLTP16_3.out' -seed 155741728
# "uuid" : "562036821"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,48,147,97,2,4,3,6,5,3,7,0,488,147,0,0,0,0,0,1,1,0,0.5,2,0,0,0,3,18,90,3,9,61,3,2,5,0,8,30,5,5,883,6,8,5,470,470,1,16,5,5,0,4,488,712,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
1.,49,144,96,3,7,4,3,9,4,11,0,480,144,0,0,0,0,0,2.5,2,0,2,3,0,0,0,7,16,92,1,11,1,7,10,17,0,4,30,1,6,885,5,4,6,473,473,0,8,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
2.,48,146,97,4,7,4,1,3,2,11,0,486,146,0,0,0,0,0,0.5,1,0,1,0,0,0,0,2,14,94,2,10,1,2,8,10,0,3,30,3,6,881,6,8,6,478,478,0,12,0,0,0,0,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
3.,50,146,95,1,5,10,1,3,0,15,0,482,146,0,0,0,0,0,0.5,4,0,1.5,2,0,0,0,5,12,96,2,10,1,5,8,13,0,7,30,1,13,880,6,5,13,468,468,0,15,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
4.,50,144,96,2,7,4,1,9,4,11,0,480,144,0,0,0,0,0,2,3,0,1,4,1,0,0,7,13,95,6,6,0,7,10,17,1,5,30,1,5,882,6,6,5,474,474,0,13,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
5.,49,145,97,1,8,6,4,2,0,14,0,484,145,0,0,0,0,0,0.5,4,0,0,4,1,0,0,5,13,95,1,11,0,5,12,17,1,2,30,3,6,879,7,6,6,458,458,0,15,3,3,0,3,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
6.,47,147,95,5,3,9,5,4,1,12,0,484,147,0,0,0,0,0,2.5,1,0,2,2,0,0,0,6,13,95,2,10,1,6,8,14,0,1,30,2,7,880,7,5,7,462,462,0,15,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
7.,49,146,97,2,6,5,2,3,1,11,0,486,146,0,0,0,0,0,0.5,4,1,1.5,3,0,0,0,6,12,96,3,9,1,6,10,16,0,1,30,4,10,876,7,1,10,461,461,0,13,1,1,0,1,548,652,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
8.,49,146,97,0,5,5,7,4,1,10,0,486,146,0,0,0,0,0,0.5,3,1,0.5,2,2,0,0,5,12,96,3,9,0,5,10,15,1,5,30,2,16,876,7,8,16,473,473,0,19,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
9.,49,147,98,1,6,2,2,2,2,8,0,490,147,0,0,0,0,0,1.5,6,0,2.5,4,0,0,0,9,12,96,0,12,0,9,8,17,0,3,30,1,6,872,7,6,6,471,471,0,3,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
